,datetaken,encounter_latitude,encounter_longitude,owner,ownername,relevant,title,url,wild,confidence,user_location_name,user_coordinates,user_latitude,user_longitude,encounter_coordinates,residing_mongodb_collection,num_encounters_at_coords
0,2019-06-09T19:01:22.000Z,,,182792066@N03,michaelDikovitsky,True,Humpback Whale Dive,https://live.staticflickr.com/65535/51194347837_794f659e0e_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
1,2021-05-20T19:28:51.000Z,,,39499792@N04,Puget Sound Express,True,Humpback whale fluke waterfall!,https://live.staticflickr.com/65535/51193312129_9a4bed6b25_b.jpg,True,,"Southampton, England","(50.904964447021484, -1.4032340049743652)",50.904964447021484,-1.4032340049743652,"(nan, nan)",['humpback whale general'],3942
2,2021-05-20T19:28:50.000Z,,,39499792@N04,Puget Sound Express,True,A humpback whale showing it's unique fluke pattern. This whale is new to our area and is not in our catalogue!,https://live.staticflickr.com/65535/51192755043_955ff52225_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
3,2021-05-20T19:28:48.000Z,,,39499792@N04,Puget Sound Express,True,Gray whale CRC723 Lucyfer,https://live.staticflickr.com/65535/51192754978_a05549a688_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
4,2021-05-20T19:28:46.000Z,,,39499792@N04,Puget Sound Express,True,A humpback whale slaps it's long pectoral fin near the shore of Blakely Island.,https://live.staticflickr.com/65535/51192754943_0c4e23f616_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
5,2021-05-18T12:26:57.000Z,,,125605310@N07,J.J. Maughn,True,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51189661330_143b14c3e1_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
6,2019-07-05T09:22:01.000Z,,,193099322@N08,shoots.small,True,_DSC7748,https://live.staticflickr.com/65535/51187856952_bdd6d3fc47_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
7,2019-07-05T09:22:10.000Z,,,193099322@N08,shoots.small,True,_DSC7759,https://live.staticflickr.com/65535/51187856572_fa8d1e910a_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
8,2019-12-31T12:50:18.000Z,,,193099322@N08,shoots.small,True,MBWW_191231 (54),https://live.staticflickr.com/65535/51187853017_9f4048a56a_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
9,2019-12-31T12:49:53.000Z,,,193099322@N08,shoots.small,True,MBWW_191231 (60),https://live.staticflickr.com/65535/51187852852_d9c7200169_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
10,2019-12-31T12:47:17.000Z,,,193099322@N08,shoots.small,True,MBWW_191231 (87),https://live.staticflickr.com/65535/51187852662_c1f01fd658_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
11,2021-05-18T12:55:17.000Z,,,62043870@N05,J. Maughn,True,"Humpback Whale, Megaptera novaeangliae",https://live.staticflickr.com/65535/51188706928_c516925aab_b.jpg,True,,"Valladolid, Spain","(41.6529426574707, -4.728384017944336)",41.6529426574707,-4.728384017944336,"(nan, nan)",['humpback whale general'],3942
12,2021-05-18T12:55:17.000Z,,,62043870@N05,J. Maughn,True,"Humpback Whale, Megaptera novaeangliae",https://live.staticflickr.com/65535/51189255919_a532034ace_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
13,2021-05-18T12:37:09.000Z,,,62043870@N05,J. Maughn,True,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51189550230_15af7b5968_b.jpg,True,,,,,,"(nan, nan)",['humpback whale general'],3942
