,datetaken,encounter_latitude,encounter_longitude,owner,ownername,relevant,title,url,wild,confidence,user_location_name,user_coordinates,user_latitude,user_longitude,encounter_coordinates,residing_mongodb_collection,num_encounters_at_coords
0,2019-11-01T15:30:44.000Z,,,37490466@N03,Luís Freitas,True,Lince Ibérico (Lynx pardinus),https://live.staticflickr.com/65535/49038831881_439f679e19_b.jpg,TRUE,,,,,,"(nan, nan)",['iberian lynx general multilingual'],113
1,2019-08-21T17:37:28.000Z,,,183638952@N07,jrgmonje,True,Camada de lince ibérico,https://live.staticflickr.com/65535/48605869797_1c152e4297_b.jpg,unknown,,,,,,"(nan, nan)",['iberian lynx general multilingual'],113
2,2020-07-26T16:39:57.000Z,,,41429983@N06,Rich Byham,True,Lynx,https://live.staticflickr.com/65535/50174377137_01950b0ae5_b.jpg,unknown,,"Southampton, England","(50.904964447021484, -1.4032340049743652)",50.904964447021484,-1.4032340049743652,"(nan, nan)",['iberian lynx general'],113
3,2020-07-27T15:17:06.000Z,,,96841722@N03,aliforr64,True,Lynx 1,https://live.staticflickr.com/65535/50170510622_c12f34604b_b.jpg,unknown,,,,,,"(nan, nan)",['iberian lynx general'],113
4,2020-06-29T12:23:26.000Z,,,153997384@N06,Adrien Farese,True,Lynx lynx,https://live.staticflickr.com/65535/50094893866_68e3d9c6dd_b.jpg,unknown,,,,,,"(nan, nan)",['iberian lynx general'],113
5,2019-07-06T10:42:49.000Z,,,57280693@N07,georgeoide,True,Lince ibérico (Lynx pardinus),https://live.staticflickr.com/65535/49826985097_62a5edf49d_b.jpg,unknown,,,,,,"(nan, nan)","['iberian lynx general multilingual', 'iberian lynx general']",113
6,2020-04-07T23:59:44.000Z,,,169317639@N03,abigailauroragonzalez,True,Gorgeous Lynx! Their photogenic ❤️,https://live.staticflickr.com/65535/49759592241_5031771891_b.jpg,unknown,,,,,,"(nan, nan)",['iberian lynx general'],113
7,2020-04-07T23:50:54.000Z,,,169317639@N03,abigailauroragonzalez,True,Gorgeous Lynx! Their photogenic ❤️,https://live.staticflickr.com/65535/49759592246_6275072b8e_b.jpg,TRUE,,,,,,"(nan, nan)",['iberian lynx general'],113
8,2020-03-05T14:49:57.000Z,,,33060881@N04,franciscojavierguerra,True,"Jerez de la Frontera (Cádiz)-Zoobotánico-19-Lince ibérico (Lynx pardinus, Mamíferos Carnívoros Félidos)",https://live.staticflickr.com/65535/49743719372_e43e1859be_b.jpg,unknown,,,,,,"(nan, nan)","['iberian lynx general multilingual', 'iberian lynx general']",113
9,2020-03-05T14:50:52.000Z,,,33060881@N04,franciscojavierguerra,True,"Jerez de la Frontera (Cádiz)-Zoobotánico-20-Lince ibérico (Lynx pardinus, Mamíferos Carnívoros Félidos)",https://live.staticflickr.com/65535/49742848118_9ee1cfb4e4_b.jpg,unknown,,,,,,"(nan, nan)","['iberian lynx general multilingual', 'iberian lynx general']",113
