,datetaken,encounter_latitude,encounter_longitude,owner,ownername,relevant,title,url,wild,confidence,user_location_name,user_coordinates,user_latitude,user_longitude,geometry,encounter_coordinates,num_encounters_at_coords,residing_mongodb_collection
0,2020-02-13T19:13:22.000Z,,,12548107@N00,o spot,True,GOPR0363b,https://live.staticflickr.com/31337/49532192618_5a0edc3ff0_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
1,2020-01-23T10:13:04.000Z,,,12548107@N00,o spot,True,G0010356b,https://live.staticflickr.com/65535/49532694981_b83ff4c428_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
2,2020-01-23T10:26:06.000Z,,,12548107@N00,o spot,True,G0010364b,https://live.staticflickr.com/65535/49532694446_ae23d2201f_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
3,2019-12-07T08:19:08.000Z,,,61638823@N03,Wildquest Bimini,True,Bimini Aerials,https://live.staticflickr.com/65535/49182008168_46d98e2dce_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
4,2019-11-13T01:33:25.000Z,,,185446332@N07,similandivecenter,True,richelieu-rock-whale-shark,https://live.staticflickr.com/31337/49058703596_eb50c0e04d_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
5,2019-07-18T10:07:15.000Z,,,145058671@N02,Idvhz,True,Whale shark,https://live.staticflickr.com/65535/48717580022_a11e8cfb86_b.jpg,unknown,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
6,2020-01-23T10:12:31.000Z,,,12548107@N00,o spot,True,G0010348b,https://live.staticflickr.com/65535/49532696056_5b91b2dd12_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
7,2020-01-23T10:12:49.000Z,,,12548107@N00,o spot,True,G0010353b,https://live.staticflickr.com/65535/49532917527_f9ec50874f_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
8,2019-09-23T11:57:01.000Z,,,11928454@N04,pastough,True,IMG_5080.jpg,https://live.staticflickr.com/65535/48993929512_685fc24c8d_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
9,2019-09-23T11:54:55.000Z,,,11928454@N04,pastough,True,IMG_5058.jpg,https://live.staticflickr.com/65535/48993925187_1a9dd2b600_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
10,2019-09-10T17:00:16.000Z,,,164887281@N07,Alex Richburg,True,"Okinawa, Japan.",https://live.staticflickr.com/65535/48713808213_ae3d494af7_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
11,2020-01-23T10:12:34.000Z,,,12548107@N00,o spot,True,G0010349b,https://live.staticflickr.com/65535/49532695886_e848aedc11_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
12,2020-01-23T09:54:15.000Z,,,12548107@N00,o spot,True,G9760288b,https://live.staticflickr.com/65535/49532916732_654c9f8a49_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
13,2019-08-18T15:43:45.000Z,,,23404165@N03,janetfo747 ~ Dreaming of Africa,True,Gentle Giant,https://live.staticflickr.com/65535/48702789422_66680d54c5_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
14,2020-06-30T20:22:15.000Z,,,110822157@N06,James Siatczynski,True,Whale Shark,https://live.staticflickr.com/65535/50062954283_99d2a5c1a7_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
15,2019-08-18T16:15:27.000Z,,,23404165@N03,janetfo747 ~ Dreaming of Africa,True,Beneath the Waves,https://live.staticflickr.com/65535/48702284108_fce65be3be_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
16,2020-01-23T10:12:46.000Z,,,12548107@N00,o spot,True,G0010352b,https://live.staticflickr.com/65535/49532193868_5235d4ca19_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
17,2019-11-12T07:44:48.000Z,,,185861006@N08,graeme214,True,fullsizeoutput_d721,https://live.staticflickr.com/65535/49162184836_1731ee684e_b.jpg,unknown,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
18,2020-01-23T10:12:38.000Z,,,12548107@N00,o spot,True,G0010350b,https://live.staticflickr.com/65535/49532194148_9fb80430a0_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
19,2020-01-23T10:26:32.000Z,,,12548107@N00,o spot,True,G0020366b,https://live.staticflickr.com/65535/49532192958_2f95cf2b5b_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
20,2019-09-23T11:50:44.000Z,,,11928454@N04,pastough,True,IMG_5045.jpg,https://live.staticflickr.com/65535/48993724061_78a950b508_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
21,2019-09-23T11:56:57.000Z,,,11928454@N04,pastough,True,IMG_5076.jpg,https://live.staticflickr.com/65535/48993927842_bc6ee8287f_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
22,2020-05-18T15:55:47.000Z,,,96639807@N00,planetdavis23,True,IMG_2195,https://live.staticflickr.com/31337/49910215303_d2fd369c93_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
23,2019-10-07T11:13:19.000Z,,,141364395@N06,DocTroll,True,Whale shark,https://live.staticflickr.com/65535/49984039307_bc39170514_b.jpg,unknown,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
24,2019-10-07T10:45:24.000Z,,,141364395@N06,DocTroll,True,Whale shark,https://live.staticflickr.com/65535/49984039552_12e5d1edaa_b.jpg,unknown,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
25,2020-01-23T10:13:37.000Z,,,12548107@N00,o spot,True,G0010359b,https://live.staticflickr.com/65535/49532193243_4644c614fe_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
26,2020-01-23T10:02:55.000Z,,,12548107@N00,o spot,True,G0010317b,https://live.staticflickr.com/65535/49532918557_9b8c36e23e_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
27,2019-09-23T11:57:12.000Z,,,11928454@N04,pastough,True,IMG_5088.jpg,https://live.staticflickr.com/65535/48993189808_2d96c2ec1e_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
28,2019-08-17T11:53:00.000Z,,,121943957@N06,junglepearl,True,pe198602,https://live.staticflickr.com/65535/48718209897_32b04414cb_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
29,2019-10-07T11:19:34.000Z,,,141364395@N06,DocTroll,True,Whale shark,https://live.staticflickr.com/65535/49984039092_f663f89ccb_b.jpg,unknown,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
30,2020-05-21T05:56:36.000Z,,,93353199@N02,Bernd's Tauchsafaris,True,Tauchsafari Leyte,https://live.staticflickr.com/65535/49918890398_5eb9ba0c18_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
31,2020-07-10T09:27:48.000Z,,,189257187@N03,Baja Whale Shark,True,Whale Sharks in Cabo,https://live.staticflickr.com/65535/50098015587_fcc87a3189_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
32,2020-07-10T09:32:50.000Z,,,189257187@N03,Baja Whale Shark,True,Whale Shark Adventure,https://live.staticflickr.com/65535/50097222438_9deff5db0e_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
33,2019-12-26T15:54:20.000Z,,,188889297@N04,chad.stillwell,True,Whale Shark,https://live.staticflickr.com/65535/50004004957_415ffacbf2_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
34,2020-06-09T08:35:07.000Z,,,59204828@N07,Reef-World,True,Whale shark,https://live.staticflickr.com/65535/49986677773_34f3fe2caa_b.jpg,unknown,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
35,2020-06-09T08:35:41.000Z,,,59204828@N07,Reef-World,True,Whale shark,https://live.staticflickr.com/65535/49987442862_ded6867708_b.jpg,unknown,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
36,2020-05-12T15:36:54.000Z,,,25794181@N05,grizzabella,True,Walhai / whale shark (Rhincodon typus),https://live.staticflickr.com/65535/49886133433_2fee77155b_b.jpg,unknown,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
37,2020-03-31T11:43:57.000Z,,,187635944@N02,Tiffany and Paris,True,Whale Shark,https://live.staticflickr.com/65535/49721555227_dcb087731c_b.jpg,unknown,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
38,2020-02-21T23:23:07.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687903317_9708be8d95_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
39,2020-02-21T23:27:54.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687902582_4213b0d1c0_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
40,2020-02-23T01:03:49.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687597331_e5a0a40ac8_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
41,2020-02-23T01:15:52.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687898107_5aca8ea224_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
42,2020-02-24T17:49:54.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687060158_cdab6343b9_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
43,2020-02-24T18:00:49.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687591386_1be8ecfd40_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
44,2020-02-24T18:04:14.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687040908_0c9d3a8647_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
45,2020-02-24T18:30:21.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687571421_1698ca3068_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
46,2020-02-24T18:36:42.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687570306_2e1435a34a_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
47,2020-03-11T10:45:32.000Z,,,92044616@N04,Luther College Center for Global Learning,True,"Kaitlyn Freimuth -1 - Independent Study - Cebu City, Manila, Tagbilaran City",https://live.staticflickr.com/65535/49648192578_8a2af8219e_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
48,2020-02-23T01:43:37.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687062348_6de30e8f98_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
49,2020-02-23T01:43:38.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687595066_91dcc2d968_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
50,2020-02-24T17:54:07.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687592901_ed8d74729d_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
51,2020-02-24T17:54:08.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687059293_064ee58182_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
52,2020-02-23T20:02:22.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687061113_5f4a948e32_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
53,2020-02-24T17:59:46.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687058603_6710951ee2_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
54,2020-02-24T18:19:20.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687038948_4001a1a4d9_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
55,2020-02-24T18:30:23.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687038128_1abcfd7332_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
56,2020-02-24T18:53:05.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687570026_f640c278b6_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
57,2020-02-26T13:04:41.000Z,,,32310101@N06,Marcia Balestri,True,Whale Shark - Georgia Aquarium,https://live.staticflickr.com/65535/49670808801_2d1273b3cd_b.jpg,FALSE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
58,2020-03-08T14:09:08.000Z,,,91753832@N00,John Brandauer,True,"Whale shark, Bay of La Paz, Baha Mexico",https://live.staticflickr.com/65535/49656145996_1b93a813c7_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
59,2020-01-29T02:55:45.000Z,,,186714390@N06,Whale Shark Tours,True,Ningaloo Whale Sharks,https://live.staticflickr.com/65535/49458588143_e18fc5d020_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
60,2020-01-29T02:31:55.000Z,,,186714390@N06,Whale Shark Tours,True,Swimming With Whale Sharks,https://live.staticflickr.com/65535/49458524813_d07cc803f3_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
61,2020-02-21T23:23:11.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687903062_ee68d7eeea_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
62,2020-02-23T01:02:31.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687064508_1fe707e906_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
63,2020-02-23T19:16:08.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687594681_bbb5e321bc_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
64,2020-02-24T18:03:14.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687574166_e7538d3f25_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
65,2020-02-24T17:44:17.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687895267_6ff2dd7be9_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
66,2020-02-24T18:05:02.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687040243_906332fa03_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
67,2020-02-24T18:06:34.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687039618_c55a7a93c2_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
68,2020-02-24T18:33:29.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687570681_d8e4c27c2d_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
69,2020-02-21T23:28:47.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687065643_dc716a7c09_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
70,2020-04-02T04:01:11.000Z,,,186714390@N06,Whale Shark Tours,True,Swim with Whale Sharks - Ningaloo Whale Shark N Dive,https://live.staticflickr.com/65535/49726968636_84c93d7530_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
71,2020-02-21T22:40:10.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687906507_02e129cd4f_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
72,2020-02-21T22:47:51.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687905642_990b5e941d_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
73,2020-02-21T23:20:19.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687602651_3812ee6fce_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
74,2020-02-21T23:20:55.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687601831_3183cca8a3_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
75,2020-02-21T23:31:46.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687900187_5e39c72d85_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
76,2020-02-23T01:16:42.000Z,,,139250921@N04,piotrek215,True,"Whale shark , Cenderawasih Bay Indonesia",https://live.staticflickr.com/65535/49687062753_afe9d12b9d_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
77,2020-01-21T02:20:40.000Z,,,185485866@N05,malaboutiqueinnonline,True,Whale Shark Snorkelling in Maldives,https://live.staticflickr.com/65535/49418693496_45d739cc6a_b.jpg,TRUE,,,,,,POINT (nan nan),"(nan, nan)",399,['whale shark specific']
