datetaken,latitude,longitude,owner,ownername,relevant,title,url,wild
2020-07-06T12:11:55.000Z,0,0,46117671@N08,s wainwright,true,2020 - 07 - 06 - EOS 600 - Grevy s Zebras - Chester Zoo - 000,https://live.staticflickr.com/65535/50087690228_baee02fbec_b.jpg,false
2020-07-06T12:12:39.000Z,0,0,46117671@N08,s wainwright,true,2020 - 07 - 06 - EOS 600 - Grevy s Zebras - Chester Zoo - 004,https://live.staticflickr.com/65535/50087674173_56542efffe_b.jpg,false
2020-07-06T12:12:54.000Z,0,0,46117671@N08,s wainwright,true,2020 - 07 - 06 - EOS 600 - Grevy s Zebras - Chester Zoo - 006 - 00,https://live.staticflickr.com/65535/50088477507_b58a76ba7c_b.jpg,false
2020-07-06T12:13:24.000Z,0,0,46117671@N08,s wainwright,true,2020 - 07 - 06 - EOS 600 - Grevy s Zebras - Chester Zoo - 014,https://live.staticflickr.com/65535/50087660138_c2a8fa0a8c_b.jpg,false
2020-07-04T11:33:30.000Z,0,0,160762536@N06,ianmerrill4,true,412A0359,https://live.staticflickr.com/65535/50090863086_88c51e080d_b.jpg,unknown
2020-07-04T11:34:19.000Z,0,0,160762536@N06,ianmerrill4,true,412A0366,https://live.staticflickr.com/65535/50091101427_125cdb8088_b.jpg,true
2020-03-11T12:03:06.000Z,0,0,62950692@N03,j.a.kok,true,grevy zebra Artis BB2A0744,https://live.staticflickr.com/65535/50068218828_4d7d524b46_b.jpg,false
2020-07-06T12:13:57.000Z,0,0,46117671@N08,s wainwright,true,2020 - 07 - 06 - EOS 600 - Grevy s Zebras - Chester Zoo - 020,https://live.staticflickr.com/65535/50088353671_69c5b48668_b.jpg,false
2020-06-28T10:16:24.000Z,0,0,147484748@N08,Stephan Peyer,true,A7_02718 Zebra,https://live.staticflickr.com/65535/50070144212_97ba2da206_b.jpg,unknown
2020-07-05T10:19:19.000Z,0,0,104185028@N06,eileen.mccallum,true,Feeding time,https://live.staticflickr.com/65535/50083355952_c597f6c95c_b.jpg,true
2020-07-04T15:05:24.000Z,0,0,85512596@N00,clare_and_ben,true,IMG_9930,https://live.staticflickr.com/65535/50080699298_476af9a45f_b.jpg,false
2020-07-02T12:10:01.000Z,41.834864,-87.838407,83133472@N05,timp37,true,brookfield zoo july 2020,https://live.staticflickr.com/65535/50073771286_f1b8c7fedd_b.jpg,false
2020-06-23T13:41:14.000Z,53.501683,-1.039195,186349265@N08,bkandllbrady,true,"Ive got more stripes than You ! ( Explored 2,7,2020 )",https://live.staticflickr.com/65535/50067885043_ce89904eb1_b.jpg,false
2020-07-05T10:21:04.000Z,0,0,104185028@N06,eileen.mccallum,true,This looks like a good spot,https://live.staticflickr.com/65535/50083355882_bbf5441c2c_b.jpg,false
2020-03-11T12:03:53.000Z,0,0,62950692@N03,j.a.kok,true,grevy zebra Artis BB2A0760,https://live.staticflickr.com/65535/50068220023_f9d863fe79_b.jpg,false
2020-07-01T02:32:02.000Z,0,0,123414793@N07,tromadz,true,Zebra,https://live.staticflickr.com/65535/50085069906_f39a228c3b_b.jpg,false
2020-07-05T10:22:07.000Z,0,0,104185028@N06,eileen.mccallum,true,Thirsty,https://live.staticflickr.com/65535/50082532483_ecee174994_b.jpg,false
2020-07-05T10:22:29.000Z,0,0,104185028@N06,eileen.mccallum,true,"Hartsman's Mountain Zebra",https://live.staticflickr.com/65535/50083115301_679b746268_b.jpg,false
