datetaken,latitude,longitude,owner,ownername,relevant,title,url,wild,confidence
2019-06-09T19:01:22.000Z,0,0,182792066@N03,michaelDikovitsky,TRUE,Humpback Whale Dive,https://live.staticflickr.com/65535/51194347837_794f659e0e_b.jpg,TRUE,
2021-05-21T10:42:57.000Z,-32.791834,152.10904,45104424@N00,iansand,TRUE,Breach,https://live.staticflickr.com/65535/51192986773_195eb42697_b.jpg,TRUE,
2021-05-20T19:28:51.000Z,0,0,39499792@N04,Puget Sound Express,TRUE,Humpback whale fluke waterfall!,https://live.staticflickr.com/65535/51193312129_9a4bed6b25_b.jpg,TRUE,
2021-05-20T19:28:50.000Z,0,0,39499792@N04,Puget Sound Express,TRUE,A humpback whale showing it's unique fluke pattern. This whale is new to our area and is not in our catalogue!,https://live.staticflickr.com/65535/51192755043_955ff52225_b.jpg,TRUE,
2021-05-20T19:28:48.000Z,0,0,39499792@N04,Puget Sound Express,TRUE,Gray whale CRC723 Lucyfer,https://live.staticflickr.com/65535/51192754978_a05549a688_b.jpg,TRUE,
2021-05-20T19:28:46.000Z,0,0,39499792@N04,Puget Sound Express,TRUE,A humpback whale slaps it's long pectoral fin near the shore of Blakely Island.,https://live.staticflickr.com/65535/51192754943_0c4e23f616_b.jpg,TRUE,
2021-05-18T12:26:57.000Z,0,0,125605310@N07,J.J. Maughn,TRUE,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51189661330_143b14c3e1_b.jpg,TRUE,
2019-07-05T09:22:01.000Z,0,0,193099322@N08,shoots.small,TRUE,_DSC7748,https://live.staticflickr.com/65535/51187856952_bdd6d3fc47_b.jpg,TRUE,
2019-07-05T09:22:10.000Z,0,0,193099322@N08,shoots.small,TRUE,_DSC7759,https://live.staticflickr.com/65535/51187856572_fa8d1e910a_b.jpg,TRUE,
2019-12-31T12:50:18.000Z,0,0,193099322@N08,shoots.small,TRUE,MBWW_191231 (54),https://live.staticflickr.com/65535/51187853017_9f4048a56a_b.jpg,TRUE,
2019-12-31T12:49:53.000Z,0,0,193099322@N08,shoots.small,TRUE,MBWW_191231 (60),https://live.staticflickr.com/65535/51187852852_d9c7200169_b.jpg,TRUE,
2019-12-31T12:47:17.000Z,0,0,193099322@N08,shoots.small,TRUE,MBWW_191231 (87),https://live.staticflickr.com/65535/51187852662_c1f01fd658_b.jpg,TRUE,
2021-05-18T12:55:17.000Z,0,0,62043870@N05,J. Maughn,TRUE,"Humpback Whale, Megaptera novaeangliae",https://live.staticflickr.com/65535/51188706928_c516925aab_b.jpg,TRUE,
2021-05-18T12:55:17.000Z,0,0,62043870@N05,J. Maughn,TRUE,"Humpback Whale, Megaptera novaeangliae",https://live.staticflickr.com/65535/51189255919_a532034ace_b.jpg,TRUE,
2021-05-18T12:37:09.000Z,0,0,62043870@N05,J. Maughn,TRUE,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51189550230_15af7b5968_b.jpg,TRUE,
2021-05-18T12:37:09.000Z,0,0,62043870@N05,J. Maughn,TRUE,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51187783382_0eb8770141_b.jpg,TRUE,
2021-05-18T12:37:10.000Z,0,0,62043870@N05,J. Maughn,TRUE,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51188703398_b111d9724d_b.jpg,TRUE,
2021-05-18T12:37:17.000Z,0,0,62043870@N05,J. Maughn,TRUE,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51187781582_e955deaca0_b.jpg,TRUE,
2021-05-18T12:37:17.000Z,0,0,62043870@N05,J. Maughn,TRUE,"Humpback Whale, Megaptera novaeangliae",https://live.staticflickr.com/65535/51188701333_c1a10ea978_b.jpg,TRUE,
2021-05-18T12:26:57.000Z,0,0,62043870@N05,J. Maughn,TRUE,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51188413711_511eed6f3c_b.jpg,TRUE,
2021-05-18T12:26:57.000Z,0,0,62043870@N05,J. Maughn,TRUE,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51187710367_2201f0b6a9_b.jpg,TRUE,
2021-05-18T12:26:58.000Z,0,0,62043870@N05,J. Maughn,TRUE,"Humpback Whales, Megaptera novaeangliae",https://live.staticflickr.com/65535/51189180584_7312d149dd_b.jpg,TRUE,
