datetaken,latitude,longitude,owner,ownername,relevant,title,url,wild,confidence
10/20/19 9:41,0,0,151125557@N03,a_nni_k,TRUE,luchs,https://live.staticflickr.com/65535/50176974658_85242ce0d8_b.jpg,unknown,
2020-07-13T07:09:31.000Z,0,0,80351484@N03,Anendima,TRUE,Lince ibérico (Odrina),https://live.staticflickr.com/65535/50161629448_c13f881d89_b.jpg,unknown,
2020-07-13T07:09:30.000Z,0,0,80351484@N03,Anendima,TRUE,Lince ibérico (Odrina),https://live.staticflickr.com/65535/50161629483_2a069aec76_b.jpg,unknown,
2020-07-13T07:11:27.000Z,0,0,80351484@N03,Anendima,TRUE,Lince ibérico (Odrina),https://live.staticflickr.com/65535/50161629433_e9d2abb7d2_b.jpg,unknown,
2020-07-13T07:00:31.000Z,0,0,80351484@N03,Anendima,TRUE,Cachorros de lince ibérico,https://live.staticflickr.com/65535/50152161251_a6a0d9e2e8_b.jpg,unknown,
2020-07-13T06:59:32.000Z,0,0,80351484@N03,Anendima,TRUE,Cachorro de lince ibérico,https://live.staticflickr.com/65535/50152397752_d6156105de_b.jpg,unknown,
2020-07-13T07:00:16.000Z,0,0,80351484@N03,Anendima,TRUE,Cachorros de lince ibérico,https://live.staticflickr.com/65535/50152397682_bbd832741f_b.jpg,unknown,
2019-07-06T10:42:49.000Z,0,0,57280693@N07,georgeoide,TRUE,Lince ibérico (Lynx pardinus),https://live.staticflickr.com/65535/49826985097_62a5edf49d_b.jpg,unknown,
2020-01-10T11:28:43.000Z,0,0,93144813@N06,Ale Colorado,TRUE,"Lince Ibérico, Iberian lynx ( Lynx pardinus ).",https://live.staticflickr.com/65535/49818470943_fac38cea98_b.jpg,unknown,
2020-04-06T15:16:19.000Z,0,0,183638952@N07,jrgmonje,TRUE,Lince ibérico (Lynx pardinus),https://live.staticflickr.com/65535/49757423537_de396f33fb_b.jpg,unknown,
2020-03-05T14:49:57.000Z,0,0,33060881@N04,franciscojavierguerra,TRUE,"Jerez de la Frontera (Cádiz)-Zoobotánico-19-Lince ibérico (Lynx pardinus, Mamíferos Carnívoros Félidos)",https://live.staticflickr.com/65535/49743719372_e43e1859be_b.jpg,unknown,
2020-03-05T14:50:52.000Z,0,0,33060881@N04,franciscojavierguerra,TRUE,"Jerez de la Frontera (Cádiz)-Zoobotánico-20-Lince ibérico (Lynx pardinus, Mamíferos Carnívoros Félidos)",https://live.staticflickr.com/65535/49742848118_9ee1cfb4e4_b.jpg,unknown,
2019-07-31T17:27:23.000Z,0,0,65122389@N03,ansgar11,TRUE,The Lynx King,https://live.staticflickr.com/65535/49692241356_f33712bfde_b.jpg,unknown,
2020-01-07T17:52:58.000Z,0,0,41931812@N06,Pau Nuñez,TRUE,Iberian lynx - Lynx pardinus,https://live.staticflickr.com/65535/49666117093_79cd3f2d82_b.jpg,TRUE,
2020-03-11T08:26:28.000Z,0,0,57315395@N03,RubenPascualLopez,TRUE,Lince ibérico -  Iberian Lynx,https://live.staticflickr.com/65535/49659611236_9ea66d6957_b.jpg,TRUE,
