datetaken,latitude,longitude,owner,ownername,relevant,title,url,wild,confidence
10/20/19 9:41,0,0,151125557@N03,a_nni_k,TRUE,luchs,https://live.staticflickr.com/65535/50176974658_85242ce0d8_b.jpg,unknown,
2020-07-13T07:09:31.000Z,0,0,80351484@N03,Anendima,TRUE,Lince ibérico (Odrina),https://live.staticflickr.com/65535/50161629448_c13f881d89_b.jpg,unknown,
2020-07-13T07:09:30.000Z,0,0,80351484@N03,Anendima,TRUE,Lince ibérico (Odrina),https://live.staticflickr.com/65535/50161629483_2a069aec76_b.jpg,unknown,
2020-07-13T07:11:27.000Z,0,0,80351484@N03,Anendima,TRUE,Lince ibérico (Odrina),https://live.staticflickr.com/65535/50161629433_e9d2abb7d2_b.jpg,unknown,
2020-07-13T07:00:16.000Z,0,0,80351484@N03,Anendima,TRUE,Cachorros de lince ibérico,https://live.staticflickr.com/65535/50152397682_bbd832741f_b.jpg,unknown,
2020-01-10T11:28:43.000Z,0,0,93144813@N06,Ale Colorado,TRUE,"Lince Ibérico, Iberian lynx ( Lynx pardinus ).",https://live.staticflickr.com/65535/49818470943_fac38cea98_b.jpg,unknown,
2020-04-06T15:16:19.000Z,0,0,183638952@N07,jrgmonje,TRUE,Lince ibérico (Lynx pardinus),https://live.staticflickr.com/65535/49757423537_de396f33fb_b.jpg,unknown,
2020-01-04T14:14:35.000Z,0,0,140792321@N03,lukasz36,TRUE,Iberian Lynx,https://live.staticflickr.com/65535/49737971501_da85182045_b.jpg,unknown,
1/4/20 17:21,0,0,140792321@N03,lukasz36,TRUE,Iberian Lynx,https://live.staticflickr.com/65535/49738190792_ac898a1dfa_b.jpg,unknown,
2020-01-04T14:11:45.000Z,0,0,140792321@N03,lukasz36,TRUE,Iberian Lynx,https://live.staticflickr.com/65535/49738190612_c7ea488534_b.jpg,TRUE,
2020-07-13T07:00:31.000Z,0,0,80351484@N03,Anendima,TRUE,Cachorros de lince ibérico,https://live.staticflickr.com/65535/50152161251_a6a0d9e2e8_b.jpg,unknown,
2020-07-13T06:59:32.000Z,0,0,80351484@N03,Anendima,TRUE,Cachorro de lince ibérico,https://live.staticflickr.com/65535/50152397752_d6156105de_b.jpg,unknown,
2020-01-04T14:11:55.000Z,0,0,140792321@N03,lukasz36,TRUE,Iberian Lynx,https://live.staticflickr.com/65535/49737341838_cb4314b28c_b.jpg,unknown,
2020-01-21T17:10:16.000Z,0,0,30900814@N03,thesetter,TRUE,Female Iberian Lynx,https://live.staticflickr.com/65535/49686548896_1406ef8a1f_b.jpg,TRUE,
2020-01-21T17:10:22.000Z,0,0,30900814@N03,thesetter,TRUE,Female Iberian Lynx,https://live.staticflickr.com/65535/49686548491_03fba90557_b.jpg,TRUE,
2020-01-21T17:10:25.000Z,0,0,30900814@N03,thesetter,TRUE,Female Iberian Lynx,https://live.staticflickr.com/65535/49686849587_cedc6518ea_b.jpg,TRUE,
