datetaken,latitude,longitude,owner,ownername,relevant,title,url,wild,confidence
2020-02-13T12:34:32.000Z,-2.971839,35.020758,11683866@N06,Grete Howard LRPS,TRUE,"Zebra, Ngorongoro Conservation Area 13-2 # 1",https://live.staticflickr.com/65535/50166222577_e8cb7363b0_b.jpg,TRUE,
2020-02-13T12:34:33.000Z,-2.971839,35.020758,11683866@N06,Grete Howard LRPS,TRUE,"Zebra, Ngorongoro Conservation Area 13-2 # 2",https://live.staticflickr.com/65535/50165428243_ef3feb60ed_b.jpg,TRUE,
2020-03-18T09:57:29.000Z,-2.777662,34.972011,90333474@N07,C&P_Pics,TRUE,Abdim's Stork and Zebra,https://live.staticflickr.com/65535/50142183171_cf7463bd9f_b.jpg,TRUE,
2020-03-18T09:58:47.000Z,-2.779225,34.972438,90333474@N07,C&P_Pics,TRUE,Zebra and Wildebeest,https://live.staticflickr.com/65535/50142183196_73fb9d7ce1_b.jpg,TRUE,
2020-03-18T09:54:57.000Z,-2.755942,34.961283,90333474@N07,C&P_Pics,TRUE,Zebra,https://live.staticflickr.com/65535/50141645728_437db4f68f_b.jpg,TRUE,
2020-03-18T09:57:03.000Z,-2.774564,34.970852,90333474@N07,C&P_Pics,TRUE,Zebra - scratching an itch,https://live.staticflickr.com/65535/50141645738_b672e3b26c_b.jpg,TRUE,
2020-03-18T09:57:25.000Z,-2.777123,34.971811,90333474@N07,C&P_Pics,TRUE,Zebra and Abdim's Stork,https://live.staticflickr.com/65535/50141645758_55a0b61452_b.jpg,TRUE,
2020-03-18T09:55:36.000Z,-2.762334,34.964669,90333474@N07,C&P_Pics,TRUE,Zebra,https://live.staticflickr.com/65535/50141645673_36d4f6e9a1_b.jpg,TRUE,
2020-03-18T09:54:14.000Z,-2.747795,34.959147,90333474@N07,C&P_Pics,TRUE,Zebra,https://live.staticflickr.com/65535/50142183036_20421aa007_b.jpg,TRUE,
2020-03-18T09:56:02.000Z,-2.766078,34.966913,90333474@N07,C&P_Pics,TRUE,Zebra,https://live.staticflickr.com/65535/50141645563_c161b0331b_b.jpg,TRUE,
2020-03-18T09:56:01.000Z,-2.765937,34.96683,90333474@N07,C&P_Pics,TRUE,Zebra,https://live.staticflickr.com/65535/50142182166_1d70714dd5_b.jpg,TRUE,
2020-03-18T09:56:45.000Z,-2.772787,34.970311,90333474@N07,C&P_Pics,TRUE,Zebra,https://live.staticflickr.com/65535/50142182176_1ae45e6d23_b.jpg,TRUE,
2020-03-18T11:35:49.000Z,-2.994364,35.287977,90333474@N07,C&P_Pics,TRUE,Zebra in NgoroNgoro Conservancy,https://live.staticflickr.com/65535/50142416122_d0820665e5_b.jpg,TRUE,
2020-03-15T11:51:48.000Z,-3.02552,35.016116,90333474@N07,C&P_Pics,TRUE,Plains Zebra,https://live.staticflickr.com/65535/50126413511_740d8d759e_b.jpg,TRUE,
2020-03-15T11:46:25.000Z,-3.022942,34.99608,90333474@N07,C&P_Pics,TRUE,Plains Zebra,https://live.staticflickr.com/65535/50125840353_bc661f0eb9_b.jpg,TRUE,
2020-03-15T11:50:10.000Z,-3.026573,35.011016,90333474@N07,C&P_Pics,TRUE,Plains Zebra,https://live.staticflickr.com/65535/50125840383_ca5d9e900c_b.jpg,TRUE,
2020-03-15T11:51:06.000Z,-3.026523,35.011966,90333474@N07,C&P_Pics,TRUE,Plains Zebra,https://live.staticflickr.com/65535/50125839028_b76b4ee911_b.jpg,TRUE,
2020-03-15T11:52:42.000Z,-3.024431,35.018397,90333474@N07,C&P_Pics,TRUE,Plains Zebra,https://live.staticflickr.com/65535/50125829348_7ca50c3dae_b.jpg,TRUE,
2020-03-15T12:55:56.000Z,-2.928845,35.107452,90333474@N07,C&P_Pics,TRUE,Grant's Gazelle and Plains Zebra,https://live.staticflickr.com/65535/50126403551_056a6b4801_b.jpg,TRUE,
2020-03-15T12:49:21.000Z,-2.932348,35.100194,90333474@N07,C&P_Pics,TRUE,Plains Zebra,https://live.staticflickr.com/65535/50125830253_3f6785aa92_b.jpg,TRUE,
2020-03-15T12:31:50.000Z,-2.960481,35.048211,90333474@N07,C&P_Pics,TRUE,Plains Zebra,https://live.staticflickr.com/65535/50126403456_472342e7cb_b.jpg,TRUE,
2020-03-15T12:31:02.000Z,-2.962478,35.045172,90333474@N07,C&P_Pics,TRUE,Plains Zebra,https://live.staticflickr.com/65535/50125830178_8428b02d31_b.jpg,TRUE,
2020-03-15T12:30:00.000Z,-2.965037,35.041113,90333474@N07,C&P_Pics,TRUE,Plains Zebra,https://live.staticflickr.com/65535/50126403356_bd4b2e6fdc_b.jpg,TRUE,
2020-03-15T12:30:22.000Z,-2.964228,35.042569,90333474@N07,C&P_Pics,TRUE,Plains Zebra,https://live.staticflickr.com/65535/50126403391_66f7116119_b.jpg,TRUE,
2020-03-15T12:23:03.000Z,-2.976414,35.012402,90333474@N07,C&P_Pics,TRUE,Plains Zebra,https://live.staticflickr.com/65535/50125830093_4f34f4e40d_b.jpg,TRUE,
2020-03-15T12:22:51.000Z,-2.976412,35.01243,90333474@N07,C&P_Pics,TRUE,Plains Zebra,https://live.staticflickr.com/65535/50126625967_0f5ab7569d_b.jpg,TRUE,
2020-03-15T12:30:13.000Z,-2.964562,35.041975,90333474@N07,C&P_Pics,TRUE,Plains Zebra,https://live.staticflickr.com/65535/50126402466_44b621737e_b.jpg,TRUE,
2020-03-15T12:43:21.000Z,-2.941201,35.08333,90333474@N07,C&P_Pics,TRUE,Plains Zebra and Thompson's Gazelle,https://live.staticflickr.com/65535/50125829488_d18f13a7d5_b.jpg,TRUE,
2020-03-15T09:53:36.000Z,-3.090506,34.958491,90333474@N07,C&P_Pics,TRUE,Great Wildebeest Migration,https://live.staticflickr.com/65535/50120719441_d36e8d0e68_b.jpg,TRUE,
2020-03-15T09:53:10.000Z,-3.089578,34.958672,90333474@N07,C&P_Pics,TRUE,Great Wildebeest Migration,https://live.staticflickr.com/65535/50120941937_a759564b21_b.jpg,TRUE,
2020-03-15T09:53:05.000Z,-3.089428,34.958733,90333474@N07,C&P_Pics,TRUE,Great Wildebeest Migration,https://live.staticflickr.com/65535/50120151638_153269c13d_b.jpg,TRUE,
3/15/20 9:46,-3.07275,34.960877,90333474@N07,C&P_Pics,TRUE,Great Wildebeest Migration,https://live.staticflickr.com/65535/50120719231_ca1970163e_b.jpg,TRUE,
2020-03-15T09:13:42.000Z,-3.022984,34.996111,90333474@N07,C&P_Pics,TRUE,Great Wildebeest Migration,https://live.staticflickr.com/65535/50120941187_dc8ee457fe_b.jpg,TRUE,
3/15/20 9:09,-3.022748,34.996872,90333474@N07,C&P_Pics,TRUE,Great Wildebeest Migration,https://live.staticflickr.com/65535/50120718591_9925a39cdc_b.jpg,TRUE,
3/15/20 9:08,-3.021787,34.996722,90333474@N07,C&P_Pics,TRUE,Great Wildebeest Migration,https://live.staticflickr.com/65535/50120941067_2ec2a05803_b.jpg,TRUE,
2020-03-15T09:06:08.000Z,-3.020139,34.996872,90333474@N07,C&P_Pics,TRUE,Great Wildebeest Migration,https://live.staticflickr.com/65535/50120941007_d93e88988e_b.jpg,TRUE,
2020-03-15T09:06:08.000Z,-3.020139,34.996872,90333474@N07,C&P_Pics,TRUE,Great Wildebeest Migration,https://live.staticflickr.com/65535/50120150768_859da5ce86_b.jpg,TRUE,
2020-03-15T08:58:58.000Z,-3.020142,34.996869,90333474@N07,C&P_Pics,TRUE,Great Wildebeest Migration,https://live.staticflickr.com/65535/50120940617_a474a504be_b.jpg,TRUE,
2020-03-15T08:56:06.000Z,-3.019603,34.996733,90333474@N07,C&P_Pics,TRUE,Great Wildebeest Migration,https://live.staticflickr.com/65535/50120717886_af3c1ed85d_b.jpg,TRUE,
2019-07-11T09:14:55.000Z,-19.180932,15.915445,13286489@N07,'Photographers Thoughts ...',TRUE,A2.11299 - All about Lines ...,https://live.staticflickr.com/65535/50112054867_4961eacb82_b.jpg,TRUE,
2020-03-13T16:58:23.000Z,-3.112764,35.408586,90333474@N07,C&P_Pics,TRUE,Eland and Zebra,https://live.staticflickr.com/65535/50109453766_135742af06_b.jpg,TRUE,
2020-03-13T16:59:14.000Z,-3.107431,35.405274,90333474@N07,C&P_Pics,TRUE,Eland,https://live.staticflickr.com/65535/50108885168_d164a95288_b.jpg,TRUE,
2020-03-13T16:56:58.000Z,-3.115256,35.417247,90333474@N07,C&P_Pics,TRUE,Eland,https://live.staticflickr.com/65535/50109692492_a4a9372895_b.jpg,TRUE,
2020-03-13T16:56:57.000Z,-3.115281,35.41733,90333474@N07,C&P_Pics,TRUE,Eland,https://live.staticflickr.com/65535/50109692487_931c5dcf7e_b.jpg,TRUE,
2020-03-13T16:57:03.000Z,-3.115184,35.416788,90333474@N07,C&P_Pics,TRUE,Eland Zebra,https://live.staticflickr.com/65535/50109692512_82ee56dc20_b.jpg,TRUE,
2020-03-13T16:58:02.000Z,-3.114162,35.410705,90333474@N07,C&P_Pics,TRUE,More Eland and Zebra,https://live.staticflickr.com/65535/50108885118_58c6dd2af1_b.jpg,TRUE,
2020-03-13T16:58:13.000Z,-3.113442,35.409588,90333474@N07,C&P_Pics,TRUE,Eland and Zebra,https://live.staticflickr.com/65535/50108882858_95240c9c13_b.jpg,TRUE,
2019-10-27T14:44:39.000Z,-28.072934,32.138144,57149943@N05,Jan Dunzweiler,TRUE,DSC07476_DxO,https://live.staticflickr.com/65535/50105966092_3c6ec4dcbe_b.jpg,TRUE,
2019-08-02T10:37:22.000Z,-3.169625,35.61563,21036459@N05,Daniel Kliza,TRUE,"Ngorongoro, Tanzania",https://live.staticflickr.com/65535/50104405396_46ed7fa90b_b.jpg,TRUE,
2019-08-02T09:07:21.000Z,-3.169625,35.61563,21036459@N05,Daniel Kliza,TRUE,"Ngorongoro, Tanzania",https://live.staticflickr.com/65535/50103787088_72184395b0_b.jpg,TRUE,
2019-08-02T10:34:39.000Z,-3.169625,35.61563,21036459@N05,Daniel Kliza,TRUE,"Ngorongoro, Tanzania",https://live.staticflickr.com/65535/50103781583_bd38c5a4bc_b.jpg,TRUE,
2019-08-02T10:35:11.000Z,-3.169625,35.61563,21036459@N05,Daniel Kliza,TRUE,"Ngorongoro, Tanzania",https://live.staticflickr.com/65535/50103781243_c2065c2786_b.jpg,TRUE,
2019-08-02T10:37:45.000Z,-3.169625,35.61563,21036459@N05,Daniel Kliza,TRUE,"Ngorongoro, Tanzania",https://live.staticflickr.com/65535/50103780568_21a57ea74a_b.jpg,TRUE,
2019-08-02T10:39:34.000Z,-3.169625,35.61563,21036459@N05,Daniel Kliza,TRUE,"Ngorongoro, Tanzania",https://live.staticflickr.com/65535/50104355991_b1f66c0cd6_b.jpg,TRUE,
2019-08-02T10:54:47.000Z,-3.169625,35.61563,21036459@N05,Daniel Kliza,TRUE,"Ngorongoro, Tanzania",https://live.staticflickr.com/65535/50103779183_bb23db3458_b.jpg,TRUE,
2020-03-12T11:12:08.000Z,-3.154573,35.477252,90333474@N07,C&P_Pics,TRUE,65-PGC00259-20200312,https://live.staticflickr.com/65535/50098141212_30127208fd_b.jpg,TRUE,
2020-03-12T11:07:54.000Z,-3.154823,35.476686,90333474@N07,C&P_Pics,TRUE,62-CAC09392-20200312,https://live.staticflickr.com/65535/50097333673_d5992f4038_b.jpg,TRUE,
2020-03-12T11:07:45.000Z,-3.154817,35.47668,90333474@N07,C&P_Pics,TRUE,61-CAC09390-20200312,https://live.staticflickr.com/65535/50097915201_dde97dda75_b.jpg,TRUE,
2020-03-12T11:07:40.000Z,-3.154828,35.476661,90333474@N07,C&P_Pics,TRUE,60-CAC09388-20200312,https://live.staticflickr.com/65535/50097333648_28ba618824_b.jpg,TRUE,
2020-03-12T11:03:00.000Z,-3.157031,35.473958,90333474@N07,C&P_Pics,TRUE,52-CAC09358-20200312,https://live.staticflickr.com/65535/50097915011_db200b2b01_b.jpg,TRUE,
2020-03-12T11:00:17.000Z,-3.168114,35.476991,90333474@N07,C&P_Pics,TRUE,44-PGC00211-20200312,https://live.staticflickr.com/65535/50098140912_8cd39faaef_b.jpg,TRUE,
2020-03-12T11:00:16.000Z,-3.168178,35.477008,90333474@N07,C&P_Pics,TRUE,43-PGC00208-20200312,https://live.staticflickr.com/65535/50098140892_d824a232f8_b.jpg,TRUE,
2020-03-12T10:54:13.000Z,-3.183984,35.475938,90333474@N07,C&P_Pics,TRUE,37-_PGC4056-20200311,https://live.staticflickr.com/65535/50098140867_58189e84f2_b.jpg,TRUE,
2020-03-12T10:58:06.000Z,-3.171898,35.476308,90333474@N07,C&P_Pics,TRUE,39-CAC09333-20200312,https://live.staticflickr.com/65535/50097333303_db773317f7_b.jpg,TRUE,
