datetaken,latitude,longitude,owner,ownername,relevant,title,url,wild,confidence
2020-09-13T13:54:41.000Z,0,0,8628862@N05,MTSOfan,TRUE,Remember Murphy and Tatu?,https://live.staticflickr.com/65535/50347783553_3cdb7445bd_b.jpg,FALSE,
2020-08-30T08:20:31.000Z,0,0,95131019@N02,imnOthere0,TRUE,A giraffe in my yard,https://live.staticflickr.com/65535/50347515566_8849e3f37f_b.jpg,FALSE,
2020-09-11T13:11:38.000Z,0,0,34517103@N00,angela n.,TRUE,Maryland Zoo,https://live.staticflickr.com/65535/50339844881_0de3a92058_b.jpg,FALSE,
2020-09-11T13:11:41.000Z,0,0,34517103@N00,angela n.,TRUE,Maryland Zoo,https://live.staticflickr.com/65535/50338830558_6b19fd0e63_b.jpg,FALSE,
2020-09-12T14:56:57.000Z,0,0,58593880@N00,LisaDiazPhotos,TRUE,Giraffe.,https://live.staticflickr.com/65535/50335504168_4e3e7bfbe0_b.jpg,FALSE,
2020-09-11T13:11:42.000Z,0,0,34517103@N00,angela n.,TRUE,Maryland Zoo,https://live.staticflickr.com/65535/50340000687_812ef23b46_b.jpg,FALSE,
2020-09-11T11:10:21.000Z,0,0,51533216@N07,Markus Aeschimann,TRUE,Zoo Zürich - 11. September 2020,https://live.staticflickr.com/65535/50330911698_9310a1f0f0_b.jpg,FALSE,
2020-09-03T11:40:31.000Z,43.010053,-124.415562,136301036@N03,Jeffrey Balfus (thx for 7 Million views),TRUE,Giraffe-,https://live.staticflickr.com/65535/50327808508_d3b8438c18_b.jpg,FALSE,
2020-09-08T11:31:09.000Z,0,0,142836756@N03,Andreas Stamm,TRUE,Giraffen erkunden die Leva Savanne im Zoo Zürich.,https://live.staticflickr.com/65535/50320774532_8996d62785_b.jpg,FALSE,
2020-09-07T15:33:25.000Z,51.847013,-0.54832,185509812@N07,ajbolton82,TRUE,Giraffe House Whipsnade,https://live.staticflickr.com/65535/50318720308_b24e91c1f0_b.jpg,FALSE,
2020-09-06T18:19:41.000Z,0,0,23661161@N02,Mark Dumont,TRUE,G08A4936.jpg,https://live.staticflickr.com/65535/50317878102_2a32cee625_b.jpg,FALSE,
2020-08-18T15:00:40.000Z,0,0,34961066@N00,Maia C,TRUE,Taking It Easy,https://live.staticflickr.com/65535/50294402906_15245bcd28_b.jpg,FALSE,
2020-08-27T09:28:25.000Z,0,0,38866746@N07,ak82984,TRUE,Giraffe,https://live.staticflickr.com/65535/50297947848_1038380c6a_b.jpg,FALSE,
2020-08-27T09:28:30.000Z,0,0,38866746@N07,ak82984,TRUE,Giraffe,https://live.staticflickr.com/65535/50298776807_b2b4fe4bf2_b.jpg,FALSE,
2020-08-27T14:34:42.000Z,0,0,35654496@N07,nowboy8,TRUE,YWP 27.08.20 (207),https://live.staticflickr.com/65535/50290644268_27d75ea4f0_b.jpg,FALSE,
2019-08-13T09:44:28.000Z,50.183975,8.487235,123597211@N03,Tom's Fotokiste Zootierfotografie (thanks vor over,TRUE,Rothschild-Giraffe (Lat. Giraffa camelopardalis camelopardalis),https://live.staticflickr.com/65535/50285903292_8232aa177f_b.jpg,FALSE,
2020-08-25T16:19:07.000Z,0,0,162966071@N07,DicingWithLife,TRUE,giraffe at whipsnade zoo,https://live.staticflickr.com/65535/50275309326_d857e74c1b_b.jpg,FALSE,
2020-08-25T16:19:09.000Z,0,0,162966071@N07,DicingWithLife,TRUE,whipsnade zoo giraffe,https://live.staticflickr.com/65535/50274632438_20a6172ccb_b.jpg,FALSE,
2020-08-25T16:19:32.000Z,0,0,162966071@N07,DicingWithLife,TRUE,two giraffes whipsnade,https://live.staticflickr.com/65535/50275309021_05353bd237_b.jpg,FALSE,
2020-08-25T16:19:57.000Z,0,0,162966071@N07,DicingWithLife,TRUE,giraffe walking whipsnade,https://live.staticflickr.com/65535/50275466447_21ec89fb9f_b.jpg,FALSE,
2020-07-13T11:54:35.000Z,52.445122,1.024324,62787780@N06,John5199,TRUE,Banham Zoo July 2020,https://live.staticflickr.com/65535/50263255778_5e099c2826_b.jpg,FALSE,
2020-07-13T11:54:47.000Z,52.445122,1.024324,62787780@N06,John5199,TRUE,Banham Zoo July 2020,https://live.staticflickr.com/65535/50264094442_8e976c8de6_b.jpg,FALSE,
2020-07-13T11:58:28.000Z,52.445122,1.024324,62787780@N06,John5199,TRUE,Banham Zoo July 2020,https://live.staticflickr.com/65535/50263906071_80234c4dc1_b.jpg,FALSE,
2020-08-12T11:18:00.000Z,0,0,8563910@N08,C E Andersen,TRUE,,https://live.staticflickr.com/65535/50261457062_9bbd2031dc_b.jpg,FALSE,
2020-08-12T11:17:58.000Z,0,0,8563910@N08,C E Andersen,TRUE,,https://live.staticflickr.com/65535/50261265091_c81bae133a_b.jpg,FALSE,
2019-08-25T09:36:14.000Z,49.447244,11.137926,184588066@N03,Bitter Lemon 67,TRUE,Rotschild Giraffe,https://live.staticflickr.com/65535/50271049337_80575f9b44_b.jpg,FALSE,
2020-08-21T10:29:13.000Z,0,0,183172956@N07,wandern - hiking,TRUE,Netzgiraffe (Zoo Zürich),https://live.staticflickr.com/65535/50270649157_11574cf109_b.jpg,FALSE,
2020-08-21T10:29:03.000Z,0,0,183172956@N07,wandern - hiking,TRUE,Netzgiraffe (Zoo Zürich),https://live.staticflickr.com/65535/50269803948_989d53c26b_b.jpg,FALSE,
2020-08-23T17:47:55.000Z,0,0,23661161@N02,Mark Dumont,TRUE,G08A0193.jpg,https://live.staticflickr.com/65535/50268556813_a49d5bd4e3_b.jpg,FALSE,
2020-08-23T17:43:34.000Z,0,0,23661161@N02,Mark Dumont,TRUE,G08A0165.jpg,https://live.staticflickr.com/65535/50269397262_63bac6f2df_b.jpg,FALSE,
2020-08-23T14:50:20.000Z,0,0,23661161@N02,Mark Dumont,TRUE,G08A9964.jpg,https://live.staticflickr.com/65535/50268555443_278528deae_b.jpg,FALSE,
2020-08-23T14:49:40.000Z,0,0,23661161@N02,Mark Dumont,TRUE,G08A9956.jpg,https://live.staticflickr.com/65535/50269395807_33783229ca_b.jpg,FALSE,
2020-08-22T11:51:56.000Z,0,0,51056299@N08,mikedoherty_photos,TRUE,"DSC08799 JPEG - Full size, highest quality",https://live.staticflickr.com/65535/50260777918_990ef07a1e_b.jpg,FALSE,
