confidence,datetaken,latitude,longitude,owner,ownername,relevant,title,url,wild
,2021-04-30T17:26:54.000Z,0,0,128326247@N06,oalard,true,Ningaloo2021-9846_M1s,https://live.staticflickr.com/65535/51149605318_0d398b3d15_b.jpg,unknown
,2021-04-30T17:26:50.000Z,0,0,128326247@N06,oalard,true,Ningaloo2021-9856_M1s,https://live.staticflickr.com/65535/51150158649_ee61c434df_b.jpg,unknown
,2021-04-29T05:07:33.000Z,0,0,189257187@N03,Baja Whale Shark,true,Whale Sharks La Paz,https://live.staticflickr.com/65535/51146965484_294e894b67_b.jpg,true
,2021-04-29T05:06:29.000Z,0,0,189257187@N03,Baja Whale Shark,true,Whale Shark La Paz,https://live.staticflickr.com/65535/51145503632_5ddb822279_b.jpg,true
,2021-04-29T05:04:53.000Z,0,0,189257187@N03,Baja Whale Shark,true,Swimming with Whale Sharks,https://live.staticflickr.com/65535/51146402898_e633dae499_b.jpg,true
,2021-03-14T20:44:32.000Z,0,0,146194668@N05,danbridgforth,true,whale shark and pilot fish,https://live.staticflickr.com/65535/51135598897_36895c3c81_b.jpg,unknown
,2021-03-14T20:39:30.000Z,0,0,146194668@N05,danbridgforth,true,Whale Shark,https://live.staticflickr.com/65535/51136265561_240b12fa43_b.jpg,unknown
,2021-03-14T20:35:02.000Z,0,0,146194668@N05,danbridgforth,true,Whale Shark in Tank,https://live.staticflickr.com/65535/51137373815_7604ba762e_b.jpg,false
,2021-03-22T10:24:57.000Z,2.746045,72.888793,72096479@N00,virtualphotographers,true,Whale Shark,https://live.staticflickr.com/65535/51062967451_997fc4b86a_b.jpg,unknown
,2021-03-22T10:24:33.000Z,2.746045,72.888793,72096479@N00,virtualphotographers,true,Whale Shark,https://live.staticflickr.com/65535/51063050727_e841ef9d0b_b.jpg,unknown
,2021-03-22T10:24:12.000Z,2.746045,72.888793,72096479@N00,virtualphotographers,true,Swimming with Whale Sharks,https://live.staticflickr.com/65535/51063049727_c7b97291bc_b.jpg,true
,2021-03-22T10:23:45.000Z,2.746045,72.888793,72096479@N00,virtualphotographers,true,Whale Shark,https://live.staticflickr.com/65535/51062963846_ef5a3b8b5b_b.jpg,unknown
91.31326079368591,2021-03-22T10:23:26.000Z,2.746045,72.888793,72096479@N00,virtualphotographers,true,Swimming with Whale Sharks,https://live.staticflickr.com/65535/51062250578_2ba17a602d_b.jpg,true
6.973336637020111,2020-12-10T08:40:25.000Z,4.174299,73.483943,100123353@N08,Rafi Amar Wildlife Photography,true,Whale Shark - Rhincodon typus,https://live.staticflickr.com/65535/51039808702_1cea753c8b_b.jpg,true
92.87601113319397,2021-05-11T01:49:03.000Z,0,0,192450511@N02,jeparticipe.museum,true,Requin-baleine - Rhincodon typus,https://live.staticflickr.com/65535/51172014543_ef96fdea26_b.jpg,true
19.200828671455383,2021-04-29T05:05:52.000Z,0,0,189257187@N03,Baja Whale Shark,true,swim with whale sharks cabo,https://live.staticflickr.com/65535/51146404143_63454b5b11_b.jpg,true
35.72674095630646,2021-03-15T04:19:08.000Z,0,0,93044435@N04,Accountability Lab,true,MONITOREO TIBURON BALLENA ISLA ROCA PARTIDA,https://live.staticflickr.com/65535/51038048508_b0a4c9251e_b.jpg,true
