datetaken,latitude,longitude,owner,ownername,relevant,title,url,wild,confidence
2020-02-13T19:13:22.000Z,0,0,12548107@N00,o spot,TRUE,GOPR0363b,https://live.staticflickr.com/31337/49532192618_5a0edc3ff0_b.jpg,TRUE,
2020-01-23T10:13:04.000Z,0,0,12548107@N00,o spot,TRUE,G0010356b,https://live.staticflickr.com/65535/49532694981_b83ff4c428_b.jpg,TRUE,
2020-01-23T10:26:06.000Z,0,0,12548107@N00,o spot,TRUE,G0010364b,https://live.staticflickr.com/65535/49532694446_ae23d2201f_b.jpg,TRUE,
2019-10-26T10:02:27.000Z,-13.315462,48.160285,100123353@N08,rafi amar,TRUE,Whale Shark - Rhincodon typus,https://live.staticflickr.com/65535/49413335806_1c3bf10025_b.jpg,TRUE,
2019-10-26T09:30:41.000Z,-13.315462,48.160285,100123353@N08,rafi amar,TRUE,Whale Shark come from the deep..,https://live.staticflickr.com/65535/49253908033_91358cdaa7_b.jpg,TRUE,
2019-12-07T08:19:08.000Z,0,0,61638823@N03,Wildquest Bimini,TRUE,Bimini Aerials,https://live.staticflickr.com/65535/49182008168_46d98e2dce_b.jpg,TRUE,
2019-11-13T01:33:25.000Z,0,0,185446332@N07,similandivecenter,TRUE,richelieu-rock-whale-shark,https://live.staticflickr.com/31337/49058703596_eb50c0e04d_b.jpg,TRUE,
2019-07-18T10:07:15.000Z,0,0,145058671@N02,Idvhz,TRUE,Whale shark,https://live.staticflickr.com/65535/48717580022_a11e8cfb86_b.jpg,unknown,
2019-08-16T10:13:35.000Z,0,0,84169650@N07,Neil DeMaster,TRUE,Whale Shark,https://live.staticflickr.com/65535/48644786826_a547be175b_b.jpg,unknown,
2019-08-16T10:49:56.000Z,0,0,84169650@N07,Neil DeMaster,TRUE,Whale Shark,https://live.staticflickr.com/65535/48644785781_14f570f778_b.jpg,TRUE,
2019-08-07T08:50:40.000Z,0,0,17461014@N00,- drsteve -,TRUE,Staring into the giant's eye,https://live.staticflickr.com/65535/48659898021_fe316ba977_b.jpg,TRUE,
2019-08-06T09:58:09.000Z,0,0,22685414@N04,edpdiver,TRUE,08_P8060004 whale shark,https://live.staticflickr.com/65535/48519698291_bd16f90670_b.jpg,TRUE,
2020-01-23T10:12:31.000Z,0,0,12548107@N00,o spot,TRUE,G0010348b,https://live.staticflickr.com/65535/49532696056_5b91b2dd12_b.jpg,TRUE,
2020-01-23T10:12:49.000Z,0,0,12548107@N00,o spot,TRUE,G0010353b,https://live.staticflickr.com/65535/49532917527_f9ec50874f_b.jpg,TRUE,
2019-12-28T10:16:11.000Z,0,0,10559879@N00,avlxyz,TRUE,Whale sharks - Okinawa Churaumi Aquarium - closer,https://live.staticflickr.com/65535/49287178946_4f883ff474_b.jpg,FALSE,
2019-09-23T11:57:01.000Z,0,0,11928454@N04,pastough,TRUE,IMG_5080.jpg,https://live.staticflickr.com/65535/48993929512_685fc24c8d_b.jpg,FALSE,
2019-09-23T11:54:55.000Z,0,0,11928454@N04,pastough,TRUE,IMG_5058.jpg,https://live.staticflickr.com/65535/48993925187_1a9dd2b600_b.jpg,FALSE,
2019-09-10T17:00:16.000Z,0,0,164887281@N07,Alex Richburg,TRUE,"Okinawa, Japan.",https://live.staticflickr.com/65535/48713808213_ae3d494af7_b.jpg,FALSE,
2019-08-16T10:16:14.000Z,0,0,84169650@N07,Neil DeMaster,TRUE,Whale Shark,https://live.staticflickr.com/65535/48644786716_be742a9994_b.jpg,TRUE,
2020-04-13T13:29:36.000Z,24.19,-110.41,40621085@N08,Kristof Zyskowski and Yulia Bereshpolova,TRUE,Rhincodontidae: Rhincodon typus (Whale Shark),https://live.staticflickr.com/65535/49770499397_3060ed8ac0_b.jpg,TRUE,
2020-01-23T10:12:34.000Z,0,0,12548107@N00,o spot,TRUE,G0010349b,https://live.staticflickr.com/65535/49532695886_e848aedc11_b.jpg,TRUE,
2020-01-23T09:54:15.000Z,0,0,12548107@N00,o spot,TRUE,G9760288b,https://live.staticflickr.com/65535/49532916732_654c9f8a49_b.jpg,TRUE,
2019-12-28T10:15:55.000Z,0,0,10559879@N00,avlxyz,TRUE,Whale sharks - Okinawa Churaumi Aquarium,https://live.staticflickr.com/65535/49287173046_ebed929047_b.jpg,FALSE,
2019-10-25T08:25:59.000Z,-13.315462,48.160285,100123353@N08,Rafi Amar Wildlife Photography,TRUE,Whale Shark - Rhincodon typus,https://live.staticflickr.com/65535/49068505916_58c45de030_b.jpg,unknown,
2019-08-18T15:43:45.000Z,0,0,23404165@N03,janetfo747 ~ Dreaming of Africa,TRUE,Gentle Giant,https://live.staticflickr.com/65535/48702789422_66680d54c5_b.jpg,FALSE,
2019-07-14T14:48:21.000Z,0,0,112195869@N03,mattlaiphotos,TRUE,Whale shark,https://live.staticflickr.com/65535/48302756902_7139f61f5c_b.jpg,TRUE,
2020-06-30T20:22:15.000Z,0,0,110822157@N06,James Siatczynski,TRUE,Whale Shark,https://live.staticflickr.com/65535/50062954283_99d2a5c1a7_b.jpg,FALSE,
2020-05-25T09:00:00.000Z,9.52532,123.430023,100123353@N08,Rafi Amar Wildlife Photography,TRUE,Whale Shark - Rhincodon typus,https://live.staticflickr.com/65535/49933056681_fd0c32d6a0_b.jpg,TRUE,
2020-05-25T08:59:53.000Z,9.52532,123.430023,100123353@N08,Rafi Amar Wildlife Photography,TRUE,Whale Shark - Rhincodon typus,https://live.staticflickr.com/65535/49932545018_ec2734c6e4_b.jpg,unknown,
2019-08-18T16:15:27.000Z,0,0,23404165@N03,janetfo747 ~ Dreaming of Africa,TRUE,Beneath the Waves,https://live.staticflickr.com/65535/48702284108_fce65be3be_b.jpg,FALSE,
2020-01-23T10:12:46.000Z,0,0,12548107@N00,o spot,TRUE,G0010352b,https://live.staticflickr.com/65535/49532193868_5235d4ca19_b.jpg,TRUE,
2019-11-12T07:44:48.000Z,0,0,185861006@N08,graeme214,TRUE,fullsizeoutput_d721,https://live.staticflickr.com/65535/49162184836_1731ee684e_b.jpg,unknown,
2019-08-16T10:21:38.000Z,0,0,84169650@N07,Neil DeMaster,TRUE,Whale Shark,https://live.staticflickr.com/65535/48644920037_8f74aff8d7_b.jpg,unknown,
2019-08-16T10:47:34.000Z,0,0,84169650@N07,Neil DeMaster,TRUE,Whale Shark,https://live.staticflickr.com/65535/48644919847_cc312c10b7_b.jpg,unknown,
2019-07-31T11:47:32.000Z,33.76328,-84.394856,7456874@N02,Bird Aficionado Stan,TRUE,Whale shark,https://live.staticflickr.com/65535/48499055397_eaf03e68a6_b.jpg,FALSE,
2020-04-13T13:59:19.000Z,24.19,-110.41,40621085@N08,Kristof Zyskowski and Yulia Bereshpolova,TRUE,Echeneidae: Remora remora (Common Suckerfish) on Whale Shark,https://live.staticflickr.com/65535/49770498707_cdd72efd38_b.jpg,TRUE,
2020-01-23T10:12:38.000Z,0,0,12548107@N00,o spot,TRUE,G0010350b,https://live.staticflickr.com/65535/49532194148_9fb80430a0_b.jpg,TRUE,
2020-01-23T10:26:32.000Z,0,0,12548107@N00,o spot,TRUE,G0020366b,https://live.staticflickr.com/65535/49532192958_2f95cf2b5b_b.jpg,TRUE,
2019-09-23T11:50:44.000Z,0,0,11928454@N04,pastough,TRUE,IMG_5045.jpg,https://live.staticflickr.com/65535/48993724061_78a950b508_b.jpg,FALSE,
2019-08-16T10:19:44.000Z,0,0,84169650@N07,Neil DeMaster,TRUE,Whale Shark,https://live.staticflickr.com/65535/48644920187_5d26e35cb9_b.jpg,TRUE,
2019-08-02T17:21:39.000Z,0,0,22685414@N04,edpdiver,TRUE,15_P8020070 whale shark,https://live.staticflickr.com/65535/48524288742_510224b9ed_b.jpg,TRUE,
2019-12-06T14:56:44.000Z,0,0,24958117@N07,Corey Hamilton,TRUE,Whale Sharks at Churaumi Aquarium,https://live.staticflickr.com/65535/49181176761_ee36a59273_b.jpg,FALSE,
2019-07-16T18:18:28.000Z,0,0,38945681@N07,David Swindler (ActionPhotoTours.com),TRUE,Swimming with Whale Sharks,https://live.staticflickr.com/65535/48307202332_7d63ec7871_b.jpg,unknown,
