,species,platform,wild,captive,unknown,total relevant
0,humpback whale , Flickr,4532,0,0,4532
1,whale shark , Flickr,303,76,74,453
2,iberian lynx , Flickr,73,5,41,119
3,reticulated giraffe , Flickr,185,370,58,613
4,Grevy's zebra , Flickr,17,268,42,327
5,plains zebra , Flickr,1496,185,258,1939
6,humpback whale , YouTube,857,2,0,859
7,whale shark , YouTube,507,36,0,543
8,iberian lynx , YouTube,142,66,0,208
9,reticulated giraffe , YouTube,74,189,0,263
10,Grevy's zebra , YouTube,32,79,0,111
11,plains zebra , YouTube,156,44,0,200
12,humpback whale , iNaturalist,16820,9,0,16829
13,whale shark , iNaturalist,3212,158,0,3370
14,iberian lynx , iNaturalist,102,9,0,111
15,reticulated giraffe , iNaturalist,358,69,0,427
16,Grevy's zebra , iNaturalist,159,61,0,220
17,plains zebra , iNaturalist,9005,1303,0,10308
