id,user_id,encounter_loc,user_location
49656853212,123785395@N08,"0, 0",
49605936042,72616463@N00,"69.447668, 16.370176","Gothenburg, Sweden"
49605686171,72616463@N00,"69.447668, 16.370176","Gothenburg, Sweden"
49605685426,72616463@N00,"69.447668, 16.370176","Gothenburg, Sweden"
49605934562,72616463@N00,"69.447668, 16.370176","Gothenburg, Sweden"
49605684721,72616463@N00,"69.447668, 16.370176","Gothenburg, Sweden"
49605934397,72616463@N00,"69.447668, 16.370176","Gothenburg, Sweden"
49605175813,72616463@N00,"69.447668, 16.370176","Gothenburg, Sweden"
49536832621,38856519@N05,"0, 0","Maui, HI"
49377302296,57632817@N00,"0, 0","Vancouver, USA"
49375803966,57632817@N00,"0, 0","Vancouver, USA"
49605176408,72616463@N00,"69.447668, 16.370176","Gothenburg, Sweden"
49386318497,35334142@N08,"0, 0",
49346740017,48417600@N08,"0, 0","Berwick, Australia"
49346065333,48417600@N08,"0, 0","Berwick, Australia"
49346065283,48417600@N08,"0, 0","Berwick, Australia"
49346065253,48417600@N08,"0, 0","Berwick, Australia"
49346526836,48417600@N08,"0, 0","Berwick, Australia"
49346739722,48417600@N08,"0, 0","Berwick, Australia"
49346064968,48417600@N08,"0, 0","Berwick, Australia"
49346065028,48417600@N08,"0, 0","Berwick, Australia"
49346064903,48417600@N08,"0, 0","Berwick, Australia"
49346739587,48417600@N08,"0, 0","Berwick, Australia"
49346739472,48417600@N08,"0, 0","Berwick, Australia"
49346064868,48417600@N08,"0, 0","Berwick, Australia"
49346526551,48417600@N08,"0, 0","Berwick, Australia"
49346739437,48417600@N08,"0, 0","Berwick, Australia"
49346064748,48417600@N08,"0, 0","Berwick, Australia"
49346739307,48417600@N08,"0, 0","Berwick, Australia"
49346526381,48417600@N08,"0, 0","Berwick, Australia"
49346739257,48417600@N08,"0, 0","Berwick, Australia"
49346739207,48417600@N08,"0, 0","Berwick, Australia"
49346064533,48417600@N08,"0, 0","Berwick, Australia"
49346064593,48417600@N08,"0, 0","Berwick, Australia"
49346064523,48417600@N08,"0, 0","Berwick, Australia"
49346739027,48417600@N08,"0, 0","Berwick, Australia"
49346064458,48417600@N08,"0, 0","Berwick, Australia"
49346738972,48417600@N08,"0, 0","Berwick, Australia"
49346525956,48417600@N08,"0, 0","Berwick, Australia"
49346738922,48417600@N08,"0, 0","Berwick, Australia"
49346738877,48417600@N08,"0, 0","Berwick, Australia"
49346738797,48417600@N08,"0, 0","Berwick, Australia"
49346064133,48417600@N08,"0, 0","Berwick, Australia"
49346738632,48417600@N08,"0, 0","Berwick, Australia"
49346525516,48417600@N08,"0, 0","Berwick, Australia"
49346525441,48417600@N08,"0, 0","Berwick, Australia"
49346063993,48417600@N08,"0, 0","Berwick, Australia"
49346063913,48417600@N08,"0, 0","Berwick, Australia"
49346525211,48417600@N08,"0, 0","Berwick, Australia"
49346738277,48417600@N08,"0, 0","Berwick, Australia"
49346525166,48417600@N08,"0, 0","Berwick, Australia"
49346063743,48417600@N08,"0, 0","Berwick, Australia"
49346525051,48417600@N08,"0, 0","Berwick, Australia"
49346525026,48417600@N08,"0, 0","Berwick, Australia"
49346063588,48417600@N08,"0, 0","Berwick, Australia"
49346524841,48417600@N08,"0, 0","Berwick, Australia"
49346063428,48417600@N08,"0, 0","Berwick, Australia"
49346737857,48417600@N08,"0, 0","Berwick, Australia"
