videoID,newLocation
juX8DV7E6NE,"Hervey Bay, Australia"
uIt9h7Kg9Ro,french polynesia
iiKMpDhTRlA,"boston, massachussets"
0RJuAEElD9Y,australia
kMzfKYxTDM8,iceland
-lUF2ETF_TM,australia
sqHqLV1E8xw,"Maui, Hawaii"
X55QJv8Wo84,tonga
MGwOvYiaOP8,dana point
0UuRK25rETM,Iceland
LJ4p_zspisA,"Gold Coast, Australia"
gDxelW5Y6kg,"Maui, Hawaii"
rZRoCSDBER8,San Diego
YyR39JW412w,Ecuador
Pc9A1FgS0qg,Monterey Bay
SFdHda2_4Tw,Costa Rica
8JkyApQfDVc,Alaska
-Y2GzxS_zqg,Monterey Bay
dpEQEccZ_eE,"San Benedicto island Socorro , Mexico"
RMlmKyqQE-8,"Lahaina, Maui"
tpfIceU52yU,"Rio de Janerio, Brazil"
9CiXo2xIlWY,New York City
oI41ib787QA,Australia
swDYHLaod4k,Monterey Bay
Ip6I0PA0ETg,Cape Cod
ns-qxs99vcY,"San Francisco, California"
SEBIwFkJDXM,"Monterey Bay, California"
45l_RwbySTc,Maui
7oqzr9GRG7c,"Vava’u, Tonga"
rfOi6VSfxnY,maui
gv6u2MnqMcs,alaska
WMGAvi9aexE,"New Foundland, Canada"
HQHskmmVt5U,Hawaii
UbeqrUkj1ZA,Monterey Bay
Abco79InYYk,"Sherkin Island, West Cork, Ireland"
0GuvNXJLg4c,Boston
ciLP1Zh4Ttk,scotland
D8EtgMSOVyY,Tofino
6L3gt4J8zSA,Monterey Bay
LCNcad83b9A,"Tromsø, Norway"
gaIM2sDra1E,Rarotonga
UyixmKchF8o,Monterey Bay
Sq1bcN4lhBU,"Pacifica, CA"
ZVOCQpBDT24,Monterey Bay
FFye-Mw_Vgs,Cook Islands
300zF7dXKjo,"trinity bay, newfoundland"
3nOe6Fx7tjo,monterey bay
ezZQVcyvM24,boston
BTDHchOFcRE,cabo
OMRgxQrCq9I,"campbell river, vancouver"
67MMQVgghDw,monterey bay
_3iOzkbzOjs,California
2A-jlm92ib4,umdloti beach
8PdZ0pgasPA,san francisco bay
NKvPyCS4PKM,monterey bay
CJJddFo4OhE,antarctica
komMm7dsHMY,monterey bay
oHlTgREzKAg,monterey bay
p_eo94DEk0E,"Akaroa Harbour, New Zealand"
MXF4FL7Y8LE,Newfoundland
srrHNWQ1jGM,Australia
i75KnzCf98s,"victoria, british columbia, canada"
Nsfcc6kVyrc,costa rica
4Yv3dWLNOaw,antarctica
Q0N5jkxFQgY,boston
qw2JXpJSgIA,"brisbane,australia"
rEwDbb-T8xc,boston
A5j_luJpwsY,monterey bay
lmHLI0vu9TE,monterey bay
NbmgYNA1q-0,indian ocean
G1JC6ifb9rc,hervey bay australia
EUl3edthYSo,Newfoundland and Labrador
eMRbWPwoDpc,Monterey Bay
zMcjWRNR3wc,Monterey Bay
e-e5eHHxpVE,"Puerto Vallarta, Mexico"
t1HF7X0LP3M,"Inian Islands, Alaska"
cUic5kK8u5c,monterey bay
g06qsr1ixWE,Norway
41vGo7iX6IY,New Jersey
BrgN6O1pcZM,"Danco Island, Antarctica"
UF2yZA-8Vgg,Ningaloo reed
-goUL-IvZFU,"Bonavista, Newfoundland"
pNsvc3QsuUw,Vancouver Island
098O0Zu_A3E,River Thames
8TQGAxqb0tE,San Francisco Bay
I8Hs1_1WYVg,Southern California Coast
6eE51JR9RR8,Maui
aeAVCNPH4ew,"Maui, Hawaii"
SSR57HQWanI,"Maui, Hawaii"
9QrpIQFxTzI,Santa Barbara
hc0pn44WgYw,Hawaii
1Vo-TzE99gI,Sydney Australia
Asn6Cp1b_BQ,"Maui, Hawaii"
luT65Q5cbsw,St. Thomas
CjaB67HXaEM,Kalbarri National Park
d3Y2l6ClLNE,"Gabon, Africa"
N2CemnzvRMo,Alaska
XKZAChu_0_s,Tonga
6sM-9PGZuGE,Bora Bora
zzQCl1UQiXk,Turks and Caicos
Gbr3HIl4MzE,Maui
12ZjiF6NgtI,Gloucester
VPQrWGRibMM," El Valle, Chocó, Colombia"
v3TccIQKP9s,Tonga
HFXC_5Po2HM,"Maui, Hawaii"
S-SiL1jn9Ho,"madeira, portugal"
YR0Kn9EpYsc,Long Island
BZmXjvWYH9E,"Brier Island, Nova Scotia"
T8VitedBz0s,Cape Cod
dwLLxWpr41M,Maui
HofqQ4WCkVc,French Polynesia
YcQu8gqEj4A,Mexico
kYjdoSmCWEA,California
2fIgTfPcTbw,Maui
3sSmgcZbD5A,Costa Rica
AfrO8OkseIY,Maui
KJG0sWkyQAU,"Fafa Island, Tonga"
V0_gdRx5bNE,Dominican Republic
CPuJ91Wi3Nk,"Maine, USA"
2me9co1LgYs,"Hervey Bay, Queensland, Australia"
02XxnFr5hFg,Tonga
WB5dIrwgNKs,Tonga
YKRYgxtIPiQ,"Newport, Califonia"
5tiq8ttLGZM,Jervis Bay
WLpVbMFLH4A,Monterey Bay
-lnrS8jHGew,Santa Barbara Channel
37d143m4qXo,Hervey Bay
XGcXZ3D9vmI,Australia
wrLr-QB5oiw,tracy arm fjord alaska
vzorbFDO6Y8,uoleva tonga
AOZJ3nbQCYY,ningaloo reef
C5xvqhM7wSI,Puerto vallarta
6FvEKV7OR3Y,monaco
Np6V-QPtu5U,alaska
dtks5-mDh8c,San Jose del Cabo
QGkpxxxN7zs,new caledonia
GRGkgSZgINs,iceland
Z2ONc7j8AGk,argentina
9gf3qOR-cog,jervis bay
DnZ2qU4UpG4,"sydney, australia"
A5zTgVR4Ehc,Fraser Island Queensland
nxKZ8NcxRCY,tonga
JShVFlzhoRk,Waikiki Hawaii
K5qzIkVJE58,Maui
XhXsgDECwXg,Peru
EWpbM2FiA-g,Tonga
NRffY15ScTw,Alaska
_H03FqN2LgE,"Isla del Caño, Costa Rica"
wyKpXdEuRlk,y
7pWC0n1K_fI,"Oregon, United States"
FkEOVn2qDjs,"Maui, Hawaii"
NZxcDxKyNoE,Newcastle
BnoepBIMQdg,Stellwagen Bank National Marine Sanctuary
