channelID,country
UCAQpSHsgUcNt6uCOjpgD8kw,US
UCUSQVSYVtAZhspHhLGqK-_A,AU
UCg6pUlin57zeWC6Y7xmBdhA,MX
UCEyktdIDxxqoK4bqNRpZpLg,MX
UCwZq7eGqRMwY2gf7k9DcnXA,GB
UCl7giZXLlLIAEKV-TVoBW7Q,US
UCbiyedfPmEdZwy7Q4SENKeQ,MX
UCW3T8dQVEynwj6-_DArcM7w,US
UCwZq7eGqRMwY2gf7k9DcnXA,GB
UCoZdwUSvWcihKTaejR1KxRg,AU
UCBC1jREDv3xxMfsK_gClEzw,US
UCntfPpoRbDhoIX774bI_fDA,AU
UCb_vmkwTWjXAQKTuGw5C6-A,NO
UC5CvFUD_dTt7rwq7d2_VJxg,US
UCjCclmiQbZY8Jap8K7hKVtA,US
UC5LOl5KZGhX1oeFGMaJpXaA,GB
UCXA6IDQSJfDihBDSON9s01w,LI
UCTsReq5FgJVAGqsviWbSflA,US
UCxbRgw_hpXYlhdVOmkxGTvA,PH
UCUH7byzljR0jO8Y4hnZ7kYg,IT
UCQcsCptcGlOaiIWDQisvfHQ,KR
UCH8GN7fSTPhkAYTUXOhSpPA,US
UCHFudYdUGSqw2z0P3cUCDOA,US
