channelId,encounter_loc,user_country,videoId,enc_coords,user_coords
UCAQpSHsgUcNt6uCOjpgD8kw,Mexico,United States,xyBX3ZqdUE0,"(23.940610885620117, -102.52513885498047)","(39.49591064453125, -98.98998260498047)"
UCUSQVSYVtAZhspHhLGqK-_A,Oslob,Australia,5bcAF-KXpYk,"(9.492090225219727, 123.39620208740234)","(-25.578935623168945, 134.35972595214844)"
UCg6pUlin57zeWC6Y7xmBdhA,isla mujeres,Mexico,M7KvDhIGuL0,"(21.23056411743164, -86.73123168945312)","(23.940610885620117, -102.52513885498047)"
UCEyktdIDxxqoK4bqNRpZpLg,Mexico,Mexico,vk9ASSGRz7c,"(23.940610885620117, -102.52513885498047)","(23.940610885620117, -102.52513885498047)"
UCwZq7eGqRMwY2gf7k9DcnXA,"Donsol, Philippines",United Kingdom,cXo58o_oq-8,"(12.903400421142578, 123.60153198242188)","(53.9438362121582, -2.550563097000122)"
UCl7giZXLlLIAEKV-TVoBW7Q,"Oslob, Philippines",United States,s6WO91bUoaM,"(9.492090225219727, 123.39620208740234)","(39.49591064453125, -98.98998260498047)"
UCbiyedfPmEdZwy7Q4SENKeQ,"Isla Mujeres, Mexico",Australia,Y1qf-JTYuYs,"(21.23056411743164, -86.73123168945312)","(-25.578935623168945, 134.35972595214844)"
UCW3T8dQVEynwj6-_DArcM7w,"isla mujeres, mexico",United States,HHiQsDn1DiM,"(21.23056411743164, -86.73123168945312)","(39.49591064453125, -98.98998260498047)"
UCoZdwUSvWcihKTaejR1KxRg,Western Australia,Australia,BbMVDdDnX-c,"(-25.46902847290039, 122.18766784667969)","(-25.578935623168945, 134.35972595214844)"
UCBC1jREDv3xxMfsK_gClEzw,"Isla Mujeres, Mexico",United States,dtHkJ03SYnA,"(21.23056411743164, -86.73123168945312)","(39.49591064453125, -98.98998260498047)"
UCntfPpoRbDhoIX774bI_fDA,"Exmouth, Western Australia",Australia,OwBqpbdCFVk,"(-21.92898941040039, 114.12346649169922)","(-25.578935623168945, 134.35972595214844)"
UCb_vmkwTWjXAQKTuGw5C6-A,West Papua Indonesia,Norway,ed5iT7zKKq4,"(-2.1367990970611572, 133.1802215576172)","(64.23892974853516, 13.95062255859375)"
UCjCclmiQbZY8Jap8K7hKVtA,"Cozumel, Mexico",United States,qUqbG0xjUIw,"(20.509033203125, -86.94954681396484)","(39.49591064453125, -98.98998260498047)"
UC5LOl5KZGhX1oeFGMaJpXaA,Philippines,United Kingdom,HKEJ5_jOV3g,"(15.94802188873291, 121.42259216308594)","(53.9438362121582, -2.550563097000122)"
UCTsReq5FgJVAGqsviWbSflA,Philippines,United States,hxdrPdD8nnA,"(15.94802188873291, 121.42259216308594)","(39.49591064453125, -98.98998260498047)"
UCxbRgw_hpXYlhdVOmkxGTvA,"OSLOB, CEBU, Philippines",Philippines,PyfAXaNONDg,"(9.492090225219727, 123.39620208740234)","(15.94802188873291, 121.42259216308594)"
UCekSFypDqCeVmbyxRn3zD6Q,"Hin Daeng, Thailand",Thailand,07tEtwn088Y,"(15.130690574645996, 101.01782989501953)","(15.130690574645996, 101.01782989501953)"
UCHFudYdUGSqw2z0P3cUCDOA,"La Paz, Baja California Sur",United States,iFulTDgIIJg,"(24.142118453979492, -110.31220245361328)","(39.49591064453125, -98.98998260498047)"
UCOaEmiEKv8dLWMA5q9wbz9A,Mexico,United States,oJpqhnM8AHI,"(23.940610885620117, -102.52513885498047)","(39.49591064453125, -98.98998260498047)"
UCYo56GZkdXmp3vRCzkIUUCg,"Cancun, Mexico",United States,IgYCP_3uHzU,"(21.13413429260254, -86.83728790283203)","(39.49591064453125, -98.98998260498047)"
UCrFWhlHv001rC2lzb2FEhag,Philippines,Pakistan,Xg1zQdumCo8,"(15.94802188873291, 121.42259216308594)","(29.354202270507812, 68.80183410644531)"
UCc3Qxl2JWMyvEUpDIbWwzXA,Mexico,United Kingdom,dbnEoe55bDM,"(23.940610885620117, -102.52513885498047)","(53.9438362121582, -2.550563097000122)"
UCQL1-6vWiXw4iZjMdBZgCSQ,Philippines,United States,CUl6YnCEA8U,"(15.94802188873291, 121.42259216308594)","(39.49591064453125, -98.98998260498047)"
UCNSaXgM-xKTaDkHTo_gCu6w,Cabo San Lucas,Canada,m4h6TThpo18,"(22.894060134887695, -109.92627716064453)","(62.536041259765625, -96.38835144042969)"
UCMNBL-A5OGsfgaWdbihvmuQ,"Bonsol, Philippines",France,RqGOj3sTDl0,"(12.903400421142578, 123.60153198242188)","(46.62184143066406, 2.4519479274749756)"
UCV1mHlJ6C2E61aG0Z4n8Mtw,Mexico,Bahamas,cTdEPZxiyaw,"(23.940610885620117, -102.52513885498047)","(24.679536819458008, -78.05500030517578)"
UCHIhyu-jHMBQjvnT2dV-UcA,Cozumel,United States,CjzBiMbhe7s,"(20.442310333251953, -86.9025650024414)","(39.49591064453125, -98.98998260498047)"
UCyrjbkxt4kBuVJJuqVTkylw,Mexico,United States,Bcp-POD5sT4,"(23.940610885620117, -102.52513885498047)","(39.49591064453125, -98.98998260498047)"
UCXN1Ekc6e5jkbl3B0lqauOA,Mexico,United States,JJbRtsL8G0w,"(23.940610885620117, -102.52513885498047)","(39.49591064453125, -98.98998260498047)"
UC0uz4pUn7lNJd9si9BTICNA,"Cebu, Philippines",United States,F7cbSqoWOEM,"(10.311209678649902, 123.89234161376953)","(39.49591064453125, -98.98998260498047)"
UCuNavOfgrVCV0O4lPK7pklw,"Southern Leyte, Philippines",France,BJilgipb7kc,"(10.328534126281738, 125.03577423095703)","(46.62184143066406, 2.4519479274749756)"
UCFxrln4p-PptMJO0C8pvJIw,"Baja, Mexico",United States,VuZr_EYuqPo,"(27.86595344543457, -113.41503143310547)","(39.49591064453125, -98.98998260498047)"
UCJF_A0YjceEeQU_AP49BM6g,"Baja California, Mexico",United States,AGMxvPwd3Cg,"(31.874250411987305, -116.61421203613281)","(39.49591064453125, -98.98998260498047)"
UCQL1-6vWiXw4iZjMdBZgCSQ,Philippines,United States,NnT-eT_cNkU,"(15.94802188873291, 121.42259216308594)","(39.49591064453125, -98.98998260498047)"
UCYTkcVyvO6eCKk98ZSlqurw,La Paz,United States,ygjGbiqSOmU,"(-16.499080657958984, -68.13378143310547)","(39.49591064453125, -98.98998260498047)"
UC4St1TcQzRYlZbumivae9mg,"Cebu, Philippines",India,98nOQdpClMU,"(10.311209678649902, 123.89234161376953)","(22.493118286132812, 79.72701263427734)"
UCuS5fmeEDpnW5JPMdRhGm7A,Philippines,United States,ZukldOndVao,"(15.94802188873291, 121.42259216308594)","(39.49591064453125, -98.98998260498047)"
UC0ar26u2sYXaoKhBdFJdj6g,Philippines,United States,QYnaqs37fNw,"(15.94802188873291, 121.42259216308594)","(39.49591064453125, -98.98998260498047)"
