videoID,newLocation
8SbPwwDtLZw,South Africa
n-AFub1yBBM,Namibia
xh4AH43fXMA,"Northern Cape, South Africa"
cijWG_RRs8s,Africa
fGGAY9ZXlOE,"Mokala National Park, South Africa "
j5adCFObMkE,"LAKE NAKURU NATIONAL PARK, South Africa"
fhGPewMk3FM,"Etosha National Park, Namibia"
LO7Y_eS6FCE,"Etosha National Park, Namibia"
sHWpAbT-NfU,"Isiolo, Kenya"
qwKxOLkNdHM,"Etosha National Park, Namibia"
dwk-gseHj3Y,"Etosha National Park, Namibia"
R3W9BAivAOE,"Nkorho Bush Lodge, South Africa"
aASZTbOz-xA,"Serengeti, Tanzania"
GN-LntBiAFA,"Kruger National Park, South Africa "
AGl4VdHVG_8,Africa
vgFT2yXNp1I,"ETOSHA NATIONAL PARK, NAMIBIA"
mVZTOQ-gZ4I,Namibia
4PxPwZqAs_I,"Serengeti National Park, Tanzania"
18HAkltN9zI,South Africa
YCpFzJixsys,"Tembe, South Africa"
6ShmOYBQQAY,"Etosha National Park, Namibia"
EckpwffwwGA,"Kruger National Park, South Africa"
JCLrMuIbkV8,"Lake Nakuru, Kenya"
nYK8nz67sSk,"ETOSHA NATIONAL PARK, NAMIBIA"
UDVjoDFSEsg,"ETOSHA NATIONAL PARK, NAMIBIA"
hjzsGnkMIW0,"Zebra Plains Mara Camp, Kenya"
MjPnQYgCL94,"Addo, South Africa"
aUp3ucDPsEQ,"Serengeti, Tanznia"
cVaHk2U5XYo,"Vumbura Plains, Botswana"
J-dX3QCKQbs,South Africa
_QpxTnf3bg4,"Serengeti, Tanzania"
cSkchex4dis,Kenya
RQ8oPh1SYXQ,"Serengeti, Tanzania"
RK6BiDpWK5U,"Laikipia, Kenya"
3PwsSyJ5IzI,"Pilanesberg National Park, South Africa"
I57Q0V0nMIg,"Masai Mara, Kenya"
hQz6N4FOmfA,"Tembe, South Africa"
WjBhk3Kgc4w," Masai Mara, Kenya"
89scVA1pYL8,South 
v0bcdQdrWfg,Kenya
9SEZ5lx7chc,"Serengeti, Tanzania"
kfVW1S4Bs7o,"Mara River, Tanzania"
kXwG-ms63X8,"Serengeti, Tanzania"
NQZgme83wBU,Zimbabwe
PZFvRF2_414,"Madikwe, South Africa"
kShMUBInKGU,"Maasai Mara, Kenya"
Esv_dvoG8Ps,"Maasai Mara, Kenya"
96olQLOvoxc,Botswana
JJVQ0D_kUJM,"Tintswalo, South Africa"
kvpy2vc-iHs,"Lobamba, Eswatini"
mZDeaOKSNnE,"Maasai Mara, Kenya"
5vxikcDlbh8,Tanzania
O5S-EhaQOcQ,Tanzania
jAokM-dla00,"Mara River, Tanzania"
Co_nuZ6HLok,"Masai Mara, Kenya"
5e3mwKp4FKI,Zimbabwe
9G2bHl4VstA,"Serengeti National Park, Tanzania"
X-HeL9UoWZM,"Masai mara, Keny"
khaS7LhZaIM,"Serengeti, Tanzania"
SV8dnp-7H3Q,"Kirawira, Tanzania"
CC93TPaA4lI,"Serengeti, Tanzania"
SuPgjJKIMZI,"Masai Mara, Kenya"
H7JV80uXaNU,Kenya
C15jQiqS9Wg,"Serengeti,Tanzania"
Q9Ups6yLmSk,"Kajiado County, Kenya"
NF5FFbgEfA8,Tanzania
wpuVmBmR6aU,South Africa
qCyQRK8szqw," Mara River, Tanzania"
KMXo9aallh0,"Maasai Mara, Kenya"
b8S3XSJlNLY,"Mara River, Tanzania"
JvbIkKElCy8,"Singita Mara River, Tanzania"
zsv31Bhtd8A,"Serengeti National Park, Tanzania"
TfdwDh0M4QI,"Nkorho, South Africa"
G3gm9fwmUTM," Masai Mara National Reserve, Kenya"
zgE1_qnN2Pw,Tanzania
Re3TCMr-0BU,"Masai Mara, Kenya"
5bfslMOVI4c,"Kruger Park, south africa"
G8QKWZOatfE," Timbavati, South Africa"
UFoRrjhn33I,"Maasai Mara, kenya"
OQWzJaj_o8Y,Tanzania
N26rSLti638,"Serengeti, tanzania"
1oJtEegdJrI,Namibia
tpzMiaefRcE," Masai Mara National Reserve, kenya"
iqj8kjgNT0Y,"mara river, kenya"
XMks_v6j2no,"Serengeti, tanzania"
LNmOA820M48,"Serengeti, tanzania"
YfxGCzjuEvw,"Mara River, Kenya"
nYo9A5A09Fs,tanzania
Vxr_KK4aS84,Serengeti Tanzania
tkA0YoMTs_U,Tanzania
WdVJPjPQNtE,africa
XCKU3LtVtLw,tanzania
EPySoEu33eA,serengeti
gmjGdsW3Xfc,"Kruger National Park, South Africa"
fLMkxKRkh-o,"Olare Motorogi Conservancy, Kenya"
p9RslxUQCFY,Kenya
o1dQLNXHg2c,"South Luangwa, Zambia"
2t6VQn8mRR0, Serengeti National Park
