videoID,newLocation
E9tpPWK7sag,mafia island
8U48NfAEEGQ,isla mujeres
xyBX3ZqdUE0,Mexico
97LNH-pzmq8,Philippines
5bcAF-KXpYk,Oslob
Up6MgBPGgO8,La Paz Mexico
s5FlOKAQN8E,"Oslob, Cebu"
RwGzHNvwIbw,"oslob, cebu"
gYPQiOeotR8,oslob
xk3tGccmlp0,"Holbox, Mexico"
Nf9wmcSaS7Q,"La Paz, Mexico"
c7N4KtdqTC8,Ningaloo Reef
6actNShVFAA,Aguinid Falls
EZbXCWBryVA,Mexico
J4dhtHCIpJ8,"Oslob, Phillipines"
oBg8C38UfxY,"Holbox, Yucatan, Mexico"
MyVAYmw7-0I,Sail Rock
-SmmK7VDzUw,Florida
LngHlOar3PM,"Donsol, Phillipines"
M5i3PrFAUQc,Pintuyan Southern Leyte
D_rJWlSWSBs,"isla mujeres, mexico"
4KeVoaJ7Ngw,"La Paz, Mexico"
E0958p5OvPA,"Cancun, Mexico"
M7KvDhIGuL0,isla mujeres
wJn_elwN25A,philippines
1eIciyN8kxI,maldives
nUTBtITBcqE,"Okinawa, Japan"
J3TYrLghNio,Isla Holbox
XuxoOTlSL0Y,"Cancun, Mexico"
_0hSI2OOkDc,Madagascar
4bCnOd17KNM,Philippines
dEHZSp62Pt8,Philippines
J-Y_pb00J54,Djibouti
nvT6zAq7RQc,Mexico
fAWamM2J2ws,Mexico
vr34S8bdNok,Grayton Beach
9uSzkq4LyCE,"Oslob, Philippines"
ZsFw2xf7vhI,"Oslob, Philippines"
UAic0HsiboA,Mexico
rCJ2OPWith8,Indonesia
dxTAUV-LyLY,Tonga
O_UCjKGuYxs,Philippines
WCsNRqG0PIM,Philippines
7M1p-qjlnF4,Ningaloo Reef
vk9ASSGRz7c,Mexico
wpgqxD-nfOc,south Ari Atoll
OCaygiasMS8,"Kota Kinabalu, Sabah"
OA6aHqHGDTg,Mexico
mz7HeqYVvws,Vilamendhoo
W_p0XKVum2M,Similan Islands
RhX1JEcuIl4,"Oslob, Philippines"
fcdzV7ieKDc,"Cebu, Philippines"
OitEIXhmoew,Maldives
XhiPCNtR6M8,"Cebu, Philippines"
sMR-78kGOEg,Panama
wYd8Ks39llo,Maldives
uUGnFUK_Q8c,Mozambique
txE8I0ib5B8,Maldives
IDDW3gAcySk,Mexico
dFuDA7TOllk,"Cebu, Philippines"
uDZrl35yeZE,"Cebu, Philippines"
vyFh4jF831U,Thailand
2TfLBhvVJTc,Philippines
4tMDHdmq6Ew,Mexico
DaNmma9vxkU,Philippines
It76YYD5_FI,"Koh Tao, Thailand"
IPYT1-jLk-c,"La Paz, Mexico"
jTi-8olgfhk,"Papua, Indonesia"
cXo58o_oq-8,"Donsol, Philippines"
hsubIqVOtrc,Mafia Island
dKmPdunm2Cw,Cancun
GHx1lTDdnDI,"Leyte, Philippines"
pG23XggZi7c,"Oslob, Philippines"
s6WO91bUoaM,"Oslob, Philippines"
mifKrSCKlUQ,Mafia Island
gSdCkL24prI,"Cebu, Philippines"
j8dYIlea2WI,"Oslob, Philippines"
6f1N5jEKdwk,"Cebu, Philippines"
kfVaG74e1Sk,"Cebu, Philippines"
reeNmMqw1mQ,"Cebu, Philippines"
m04iT2XQzgg,"Cebu, Philippines"
uI7Xhcz_FPs,"Manta Bowl Donsol, Philippines"
TbofqE3k5eU,Djibouti
4G9V27HpMQw,Koh Tao
GZKUv132wdQ,Djibouti
RCHqhpc1qqg,Galapagos
BG4G-g7-5hw,Bahia de los Angeles
f9qXiZj5ols,"Cebu,Philippines"
REknNAuKPNI,"La Paz, Mexico"
r7-jvRJ8BZc,"La Paz, Mexico"
Y1qf-JTYuYs,"Isla Mujeres, Mexico"
V4OhHvYzOsA,"Cebu, Philippines"
kQXxPTBTNDM,Malpelo Island
sq5y1HIMCpQ,"Puerto Princesa, Philippines"
DBlmK6y7ksU,Mexico
EBmrA7yl7Io,Indian Ocean
nqzQ7oD9e-o,Cancun
fBiX29N91jc,Christmas Island
jdVvxWLws-g,"St Helena island, South Atlantic"
WeUyVRd-Rjs,Philippines
9gja-XFWihs,West Papua
XDd7d7Hj4J4,"Cebu, Philippines"
I5TmM7mA9Wo,"Cancun, Mexico"
HHiQsDn1DiM,"isla mujeres, mexico"
vSzcpKTelDk,"Baa Atoll, Maldives"
urDfHvXYBlY,Mexico
i_hbQO0W1kE,Ningaloo Reef
h_2lmLRBpyo,"Isla Mujeres, Mexico"
uyU3UYcAAUw,Mafia Island
j1XymoWb7-k,"Vilamendhoo, Maldives"
g9L1s3g2uPA,Mexico
7_VggZfyfTA,"Cebu, Philippines"
NIq5uOqf6nQ,"Cebu, Philippines"
TIs3bTBqYvw,Philippines
oNws4B7QWDM,"Donsol, Phillipines"
dV58x-MHR8A,"Cancun, Mexico"
tTFjVbzH2jA,Utila
kzNkUqdGRgg,"Cebu, Philippines"
W1CXUR0M1PY,"Cebu, Philippines"
Nn4EAVsG6aI,"Diani, Kenya"
ZeILCCvP-IM,"Cebu, Philippines"
8pql5JDqalI,Philippines
blbLqEUweYk,Ningaloo Reef
WRyQECLNbj8,"Isla Contoy, Mexico"
WIuRD7njj0Y,"Cebu, Philippines"
nSDQCp5gY68,"Cozumel, Mexico"
BbMVDdDnX-c,Western Australia
7dO4-Mojg5s,Philippines
VM2KzmL8tsk,Caribbean
s-II3q7YHWM,"Galapagos Islands, Ecuador"
9AP_sMYb30k,Vilamendhoo
SBxNwgjyPGM,Mexico
dtHkJ03SYnA,"Isla Mujeres, Mexico"
UocE7ETwVe4,western australia
-InojuvYnIU,philippines
OwBqpbdCFVk,"Exmouth, Western Australia"
29U3yCSQoDQ,Honda Bay
Tw5v9oBnSPo,"Cancun, Mexico"
MnICoFv0tLw,"Oslob, Philippines"
8XozUdchMrs,Mexico
ed5iT7zKKq4,West Papua Indonesia
HxOt7jzfHig,"Cebu, Philippines"
qUqbG0xjUIw,"Cozumel, Mexico"
HKEJ5_jOV3g,Philippines
gyPKibNGpWI,"Cancun, Mexico"
hxdrPdD8nnA,Philippines
KwoFQ8Yb31Q,"Cebu, Philippines"
R9upxChgYMk,Jana Island
PyfAXaNONDg,"OSLOB, CEBU, Philippines"
adpw-TSGM60,Marsa Alam
07tEtwn088Y,"Hin Daeng, Thailand"
duOqChXXKjg,"Cebu, Philippines"
iUVlVaL-3Qs,sumilon island
jVJeTNyly18,"Cebu, Philippines"
Cn-D4tIXAik,"Cabo, Mexico"
wtx-xmEeexs,"Cebu, Philippines"
J3212148czw,Moalboal
oJpqhnM8AHI,Mexico
IgYCP_3uHzU,"Cancun, Mexico"
Xg1zQdumCo8,Philippines
dbnEoe55bDM,Mexico
VRFE9DhkpY8,Philippines
kQyiW6HFvFo,Philippines
CUl6YnCEA8U,Philippines
ekdtQUJL_Lc,"Nosy Be, Madagascar"
m4h6TThpo18,Cabo San Lucas
RqGOj3sTDl0,"Bonsol, Philippines"
cTdEPZxiyaw,Mexico
Ji_vEp2so38,Philippines
CjzBiMbhe7s,Cozumel
Bcp-POD5sT4,Mexico
JJbRtsL8G0w,Mexico
Q_vGk-slVTg,Philippines
F7cbSqoWOEM,"Cebu, Philippines"
BJilgipb7kc,"Southern Leyte, Philippines"
VuZr_EYuqPo,"Baja, Mexico"
AGMxvPwd3Cg,"Baja California, Mexico"
8WS3lKMaZ9M,Isla Mujeres
NnT-eT_cNkU,Philippines
ygjGbiqSOmU,La Paz
5gUmRPN1CZo,Mexico
R2zoykCRRLw,Philippines
iFulTDgIIJg,"La Paz, Baja California Sur"
98nOQdpClMU,"Cebu, Philippines"
QNxCw6acNW4,"Oslob, Philippines"
ZukldOndVao,Philippines
EUYAUoGMScg,Sumilon Island
QYnaqs37fNw,Philippines
B4grZC4hWCA,"Baja, Mexico"
SFPBFRKD3Io,Mexico
c2j5eTwXM_8,Sumilon Island
_5sjKKwV1w4,Mozambique
QEKztULKtaM,Mexico
9JQHo0-7oJ0,Philippines
YZUQI5yrXUE,Charna Island
wBnacPxLgR4,Komodo Island
