videoID,newLocation
4LRkGVhmXx8,"Meru National Park, Kenya"
uUrRjqlXd4c,kenya
6MGdYUUb_GI,samburu kenya
SSvFnLAsrEk,northern kenya
LBeSv7oSqJE,"Meru National Park, Kenya"
iU465YMXkzI,"Samburu, Kenya"
98qdiQgLyaQ,Kenya
iWvTyUfuXH4,"Samburu, Kenya"
RK6BiDpWK5U,"Loisaba Conservancy, Laikipia Kenya"
76VHSmCltQI,Madikwe Game Reserve
JbzL2U5UxZE,Africa
TezfJUE18xc,Meru Kenya
7QyCz4xImoI,Kruger National Park
yxe7wObjGS4,Kenya
lukpA9IN5ik,"Hilvarenbeek, Netherlands"
2VL_gU0ILOg,"Kragga Kamma Game Park, South Africa"
fHUpwaAxe2E,"Kruger National Park, South Africa"
kSEhJ5by5R8,"Masodini's Waterhole, South Africa"
GmpjD4CEBOc,"Aberdare National Park, kenya"
U4u_vLPeal8,"Meru, Kenya"
UrlTOmQbjM4,"Singita Lebombo, South Africa"
yh7iAmaqGRw,"Ol Pejeta Conservancy, Sweetwaters, Kenya"
Y5OuWbfWXJs,"Samburu National Park, Kenya"
_F2aZ_ae508,"Meru National Park, Kenya"
8_e16y8BxBY,"Kruger National Park, South Africa"
fuSAxLJguR8,Kenya
qVsLC8ls4fk,Kenya
