channelID,country,
UCAQpSHsgUcNt6uCOjpgD8kw,US,united states
UCUSQVSYVtAZhspHhLGqK-_A,AU,australia
UCg6pUlin57zeWC6Y7xmBdhA,MX,mexico
UCEyktdIDxxqoK4bqNRpZpLg,MX,mexico
UCwZq7eGqRMwY2gf7k9DcnXA,GB,united kingdom
UCl7giZXLlLIAEKV-TVoBW7Q,US,united states
UCbiyedfPmEdZwy7Q4SENKeQ,MX,mexico
UCW3T8dQVEynwj6-_DArcM7w,US,united states
UCwZq7eGqRMwY2gf7k9DcnXA,GB,united kingdom
UCoZdwUSvWcihKTaejR1KxRg,AU,australia
UCBC1jREDv3xxMfsK_gClEzw,US,united states
UCntfPpoRbDhoIX774bI_fDA,AU,australia
UCb_vmkwTWjXAQKTuGw5C6-A,NO,norway
UC5CvFUD_dTt7rwq7d2_VJxg,US,united states
UCjCclmiQbZY8Jap8K7hKVtA,US,united states
UC5LOl5KZGhX1oeFGMaJpXaA,GB,united kingdom
UCXA6IDQSJfDihBDSON9s01w,LI,Liechtenstein
UCTsReq5FgJVAGqsviWbSflA,US,united states
UCxbRgw_hpXYlhdVOmkxGTvA,PH,philippines
UCUH7byzljR0jO8Y4hnZ7kYg,IT,italy
UCQcsCptcGlOaiIWDQisvfHQ,KR,south korea
UCH8GN7fSTPhkAYTUXOhSpPA,US,united states
UCHFudYdUGSqw2z0P3cUCDOA,US,united states
